delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
1,20,d0,1,-0.9028465999274378,0.40541396425841686,10.468992511500916,11.371839111428354
1,20,d1,1,-1.0350555234833525,0.3552066580664498,10.347651522675816,11.382707046159169
1,20,d2,1,-1.0949351911117322,0.33456128879119595,10.292911510065775,11.387846701177507
1,20,d3,1,-1.1195536249425153,0.32642547029569496,10.262488843619304,11.382042468561819
1,50,d0,1,0.4213317019996552,1.5239897050112186,37.76081832797223,37.339486625972576
1,50,d1,1,0.47004798164948625,1.600070965419733,37.809614155687136,37.33956617403765
1,50,d2,1,0.49199427467908663,1.6355747549880832,37.829623929585175,37.33762965490609
1,50,d3,1,0.46215849931282094,1.5874969004539026,37.79919399180977,37.33703549249695
1,100,d0,1,4.845678986473587,127.18961270833617,73.61359203306114,68.76791304658755
1,100,d1,1,5.002712427415446,148.81626547538127,73.77558208446209,68.77286965704664
1,100,d2,1,5.014603941847724,150.59647998931652,73.77829057230498,68.76368663045726
1,100,d3,1,5.033379599297362,153.4507393594228,73.78891909460845,68.75553949531108
1,200,d0,1,7.378152075909355,1600.6291919712414,154.62454402414116,147.2463919482318
1,200,d1,1,7.495521332992496,1799.962900777157,154.75188170735677,147.25636037436428
1,200,d2,1,7.5125047889765995,1830.7935559562143,154.76754835675902,147.25504356778242
1,200,d3,1,7.50912816325669,1824.6220765990204,154.770412521016,147.2612843577593
1,20,d0,2,-0.904812124733084,0.40461789565768924,10.482241861979517,11.387053986712601
1,20,d1,2,-1.016648623821073,0.36180545678106274,10.360637591012724,11.377286214833797
1,20,d2,2,-1.0960135521829244,0.33420070537593705,10.288986586788996,11.38500013897192
1,20,d3,2,-1.1230349633679921,0.325291048561626,10.262321735215107,11.385356698583099
1,50,d0,2,0.4209702483976656,1.5234389529845953,37.76549796743038,37.34452771903271
1,50,d1,2,0.45854529801657407,1.58177130468949,37.8107748312925,37.352229533275924
1,50,d2,2,0.4703842789056125,1.600609155385843,37.806123918478264,37.33573963957265
1,50,d3,2,0.46363050191958166,1.5898354207613323,37.813400747029824,37.34977024511024
1,100,d0,2,4.84480619801684,127.07865151241559,73.61930667000641,68.77450047198957
1,100,d1,2,4.995907084014661,147.80695792275526,73.76260856305288,68.76670147903822
1,100,d2,2,4.989518997835972,146.86576375312578,73.76913766526448,68.77961866742851
1,100,d3,2,5.004510385969212,149.0840716328743,73.77430829587436,68.76979790990515
1,200,d0,2,7.370620339365388,1588.6189603184207,154.61378770866108,147.2431673692957
1,200,d1,2,7.505223267035092,1817.5110097711777,154.75490238429398,147.2496791172589
1,200,d2,2,7.533293234400844,1869.2512608484665,154.77773763050268,147.24444439610184
1,200,d3,2,7.512093556617998,1830.0408291874965,154.75492634788617,147.24283279126817
1,20,d0,3,-0.9459079373270605,0.3883268343666304,10.447678310229795,11.393586247556856
1,20,d1,3,-1.0393939415529871,0.35366896108069457,10.33034135447001,11.369735296022997
1,20,d2,3,-1.0844940869243338,0.3380727780764313,10.300158381229625,11.38465246815396
1,20,d3,3,-1.108724055501309,0.32997972839935824,10.268768167743454,11.377492223244763
1,50,d0,3,0.4274445607354025,1.5333341703932049,37.77077980526869,37.343335244533286
1,50,d1,3,0.4607666129168422,1.5852888221680506,37.81195017146125,37.351183558544406
1,50,d2,3,0.46953511883425847,1.5992505589158206,37.82249874865452,37.35296362982026
1,50,d3,3,0.444413486226388,1.5595752151898286,37.80625347555243,37.36183998932604
1,100,d0,3,4.862080114706302,129.2928665772349,73.63023188498816,68.76815177028186
1,100,d1,3,5.011603258803106,150.14526500038207,73.76810046014006,68.75649720133696
1,100,d2,3,5.028666115412818,152.7291536995215,73.79900095407481,68.770334838662
1,100,d3,3,5.026463472815848,152.39311618092103,73.7872272863869,68.76076381357105
1,200,d0,3,7.35605817841838,1565.652859206365,154.6119330284409,147.2558748500225
1,200,d1,3,7.502973536442312,1813.4266956756237,154.75492691906803,147.25195338262571
1,200,d2,3,7.5177014909238835,1840.3324082126273,154.77257683603386,147.25487534510998
1,200,d3,3,7.5182962622891125,1841.4273108076136,154.7744626702321,147.256166407943
1,20,d0,4,-0.9293514081362559,0.39480969770463503,10.443300670664115,11.372652078800371
1,20,d1,4,-1.0310397684857477,0.3566359488989019,10.350742374579298,11.381782143065045
1,20,d2,4,-1.0818072725938883,0.33898233822374574,10.298195610926914,11.380002883520802
1,20,d3,4,-1.1172021144164326,0.32719396643433335,10.26506900527643,11.382271119692863
1,50,d0,4,0.4091089672594421,1.505475759115605,37.7639316842588,37.35482271699936
