delta_true,N,order,replicate
1,100,d2,20
1,100,d3,20
1,200,d0,20
1,200,d1,20
1,200,d2,20
1,200,d3,20
1,20,d0,21
1,20,d1,21
1,20,d2,21
1,20,d3,21
1,50,d0,21
1,50,d1,21
1,50,d2,21
1,50,d3,21
1,100,d0,21
1,100,d1,21
1,100,d2,21
1,100,d3,21
1,200,d0,21
1,200,d1,21
1,200,d2,21
1,200,d3,21
1,20,d0,22
1,20,d1,22
1,20,d2,22
1,20,d3,22
1,50,d0,22
1,50,d1,22
1,50,d2,22
1,50,d3,22
1,100,d0,22
1,100,d1,22
1,100,d2,22
1,100,d3,22
1,200,d0,22
1,200,d1,22
1,200,d2,22
1,200,d3,22
1,20,d0,23
1,20,d1,23
1,20,d2,23
1,20,d3,23
1,50,d0,23
1,50,d1,23
1,50,d2,23
1,50,d3,23
1,100,d0,23
1,100,d1,23
1,100,d2,23
1,100,d3,23
1,200,d0,23
1,200,d1,23
1,200,d2,23
1,200,d3,23
1,20,d0,24
1,20,d1,24
1,20,d2,24
1,20,d3,24
1,50,d0,24
1,50,d1,24
1,50,d2,24
1,50,d3,24
1,100,d0,24
1,100,d1,24
1,100,d2,24
1,100,d3,24
1,200,d0,24
1,200,d1,24
1,200,d2,24
1,200,d3,24
1,20,d0,25
1,20,d1,25
1,20,d2,25
1,20,d3,25
1,50,d0,25
1,50,d1,25
1,50,d2,25
1,50,d3,25
1,100,d0,25
1,100,d1,25
1,100,d2,25
1,100,d3,25
1,200,d0,25
1,200,d1,25
1,200,d2,25
1,200,d3,25
1,20,d0,26
1,20,d1,26
1,20,d2,26
1,20,d3,26
1,50,d0,26
1,50,d1,26
1,50,d2,26
1,50,d3,26
1,100,d0,26
1,100,d1,26
1,100,d2,26
1,100,d3,26
1,200,d0,26
1,200,d1,26
1,200,d2,26
1,200,d3,26
1,20,d0,27
1,20,d1,27
1,20,d2,27
1,20,d3,27
1,50,d0,27
1,50,d1,27
1,50,d2,27
1,50,d3,27
1,100,d0,27
1,100,d1,27
1,100,d2,27
1,100,d3,27
1,200,d0,27
1,200,d1,27
1,200,d2,27
1,200,d3,27
1,20,d0,28
1,20,d1,28
1,20,d2,28
1,20,d3,28
1,50,d0,28
1,50,d1,28
1,50,d2,28
1,50,d3,28
1,100,d0,28
1,100,d1,28
1,100,d2,28
1,100,d3,28
1,200,d0,28
1,200,d1,28
1,200,d2,28
1,200,d3,28
1,20,d0,29
1,20,d1,29
1,20,d2,29
1,20,d3,29
1,50,d0,29
1,50,d1,29
1,50,d2,29
1,50,d3,29
1,100,d0,29
1,100,d1,29
1,100,d2,29
1,100,d3,29
1,200,d0,29
1,200,d1,29
1,200,d2,29
1,200,d3,29
1,20,d0,30
1,20,d1,30
1,20,d2,30
1,20,d3,30
1,50,d0,30
1,50,d1,30
1,50,d2,30
1,50,d3,30
1,100,d0,30
1,100,d1,30
1,100,d2,30
1,100,d3,30
1,200,d0,30
1,200,d1,30
1,200,d2,30
1,200,d3,30
1,20,d0,31
1,20,d1,31
1,20,d2,31
1,20,d3,31
1,50,d0,31
1,50,d1,31
1,50,d2,31
1,50,d3,31
1,100,d0,31
1,100,d1,31
1,100,d2,31
1,100,d3,31
1,200,d0,31
1,200,d1,31
1,200,d2,31
1,200,d3,31
1,20,d0,32
1,20,d1,32
1,20,d2,32
1,20,d3,32
1,50,d0,32
1,50,d1,32
1,50,d2,32
1,50,d3,32
1,100,d0,32
1,100,d1,32
1,100,d2,32
1,100,d3,32
1,200,d0,32
1,200,d1,32
1,200,d2,32
1,200,d3,32
1,20,d0,33
1,20,d1,33
1,20,d2,33
1,20,d3,33
1,50,d0,33
1,50,d1,33
1,50,d2,33
1,50,d3,33
1,100,d0,33
1,100,d1,33
1,100,d2,33
1,100,d3,33
1,200,d0,33
1,200,d1,33
1,200,d2,33
1,200,d3,33
1,20,d0,34
1,20,d1,34
1,20,d2,34
1,20,d3,34
1,50,d0,34
1,50,d1,34
1,50,d2,34
1,50,d3,34
1,100,d0,34
1,100,d1,34
1,100,d2,34
1,100,d3,34
1,200,d0,34
1,200,d1,34
1,200,d2,34
1,200,d3,34
1,20,d0,35
1,20,d1,35
1,20,d2,35
1,20,d3,35
1,50,d0,35
1,50,d1,35
1,50,d2,35
1,50,d3,35
1,100,d0,35
1,100,d1,35
1,100,d2,35
1,100,d3,35
1,200,d0,35
1,200,d1,35
1,200,d2,35
1,200,d3,35
1,20,d0,36
1,20,d1,36
1,20,d2,36
1,20,d3,36
1,50,d0,36
1,50,d1,36
1,50,d2,36
1,50,d3,36
1,100,d0,36
1,100,d1,36
1,100,d2,36
1,100,d3,36
1,200,d0,36
1,200,d1,36
1,200,d2,36
1,200,d3,36
1,20,d0,37
1,20,d1,37
1,20,d2,37
1,20,d3,37
1,50,d0,37
1,50,d1,37
1,50,d2,37
1,50,d3,37
1,100,d0,37
1,100,d1,37
1,100,d2,37
1,100,d3,37
1,200,d0,37
1,200,d1,37
1,200,d2,37
1,200,d3,37
1,20,d0,38
1,20,d1,38
1,20,d2,38
1,20,d3,38
1,50,d0,38
1,50,d1,38
1,50,d2,38
1,50,d3,38
1,100,d0,38
1,100,d1,38
1,100,d2,38
1,100,d3,38
1,200,d0,38
1,200,d1,38
1,200,d2,38
1,200,d3,38
1,20,d0,39
1,20,d1,39
1,20,d2,39
1,20,d3,39
1,50,d0,39
1,50,d1,39
1,50,d2,39
1,50,d3,39
1,100,d0,39
1,100,d1,39
1,100,d2,39
1,100,d3,39
1,200,d0,39
1,200,d1,39
1,200,d2,39
1,200,d3,39
1,20,d0,40
1,20,d1,40
1,20,d2,40
1,20,d3,40
1,50,d0,40
1,50,d1,40
1,50,d2,40
1,50,d3,40
1,100,d0,40
1,100,d1,40
1,100,d2,40
1,100,d3,40
1,200,d0,40
1,200,d1,40
1,200,d2,40
1,200,d3,40
1,20,d0,41
1,20,d1,41
1,20,d2,41
1,20,d3,41
1,50,d0,41
1,50,d1,41
1,50,d2,41
1,50,d3,41
1,100,d0,41
1,100,d1,41
1,100,d2,41
1,100,d3,41
1,200,d0,41
1,200,d1,41
1,200,d2,41
1,200,d3,41
1,20,d0,42
1,20,d1,42
1,20,d2,42
1,20,d3,42
1,50,d0,42
1,50,d1,42
1,50,d2,42
1,50,d3,42
1,100,d0,42
1,100,d1,42
1,100,d2,42
1,100,d3,42
1,200,d0,42
1,200,d1,42
1,200,d2,42
1,200,d3,42
1,20,d0,43
1,20,d1,43
1,20,d2,43
1,20,d3,43
1,50,d0,43
1,50,d1,43
1,50,d2,43
1,50,d3,43
1,100,d0,43
1,100,d1,43
1,100,d2,43
1,100,d3,43
1,200,d0,43
1,200,d1,43
1,200,d2,43
1,200,d3,43
1,20,d0,44
1,20,d1,44
1,20,d2,44
1,20,d3,44
1,50,d0,44
1,50,d1,44
1,50,d2,44
1,50,d3,44
1,100,d0,44
1,100,d1,44
1,100,d2,44
1,100,d3,44
1,200,d0,44
1,200,d1,44
1,200,d2,44
1,200,d3,44
1,20,d0,45
1,20,d1,45
1,20,d2,45
1,20,d3,45
1,50,d0,45
1,50,d1,45
1,50,d2,45
1,50,d3,45
1,100,d0,45
1,100,d1,45
1,100,d2,45
1,100,d3,45
1,200,d0,45
1,200,d1,45
1,200,d2,45
1,200,d3,45
1,20,d0,46
1,20,d1,46
1,20,d2,46
1,20,d3,46
1,50,d0,46
1,50,d1,46
1,50,d2,46
1,50,d3,46
1,100,d0,46
1,100,d1,46
1,100,d2,46
1,100,d3,46
1,200,d0,46
1,200,d1,46
1,200,d2,46
1,200,d3,46
1,20,d0,47
1,20,d1,47
1,20,d2,47
1,20,d3,47
1,50,d0,47
1,50,d1,47
1,50,d2,47
1,50,d3,47
1,100,d0,47
1,100,d1,47
1,100,d2,47
1,100,d3,47
1,200,d0,47
1,200,d1,47
1,200,d2,47
1,200,d3,47
1,20,d0,48
1,20,d1,48
1,20,d2,48
1,20,d3,48
1,50,d0,48
1,50,d1,48
1,50,d2,48
1,50,d3,48
1,100,d0,48
1,100,d1,48
1,100,d2,48
1,100,d3,48
1,200,d0,48
1,200,d1,48
1,200,d2,48
1,200,d3,48
1,20,d0,49
1,20,d1,49
1,20,d2,49
1,20,d3,49
1,50,d0,49
1,50,d1,49
1,50,d2,49
1,50,d3,49
1,100,d0,49
1,100,d1,49
1,100,d2,49
1,100,d3,49
1,200,d0,49
1,200,d1,49
1,200,d2,49
1,200,d3,49
1,20,d0,50
1,20,d1,50
1,20,d2,50
1,20,d3,50
1,50,d0,50
1,50,d1,50
1,50,d2,50
1,50,d3,50
1,100,d0,50
1,100,d1,50
1,100,d2,50
1,100,d3,50
1,200,d0,50
1,200,d1,50
1,200,d2,50
1,200,d3,50
