"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"27",30,4,0,0.333333333333333,4.06873826275834,0.606344690998742,0.0557339311050475,0.395330560749589,0.190148255424307,0
"28",30,2,0,0.333333333333333,1.72606086392431,0.276160084940624,-0.433805940289841,-0.361152059847098,1.22750072892223,0.73
"29",30,3,0,0.333333333333333,2.61908742181685,0.280232934094627,-0.43192381728335,-0.36193401061193,1.22147236987741,0.519
"30",30,4,0,0.333333333333333,4.06122755201564,0.280781042388651,-0.436458968361212,-0.366329943464561,1.15029580147671,0.48
"31",30,2,0,0.333333333333333,1.53911077114712,0.480606343982268,-0.44481564392098,0.0302681201696813,0.266624874558657,0.34
"32",30,3,0,0.333333333333333,2.54054903905156,0.517880636693551,-0.446100805784704,0.0298020231779434,0.241850840337433,0.29
"33",30,4,0,0.333333333333333,3.99348492487064,0.546481192948001,-0.4453574223744,0.0302245430935018,0.22392123553174,0.285
"34",30,2,0,0.333333333333333,1.56488059694712,0.464559607101051,-0.176248492196727,0.773114940671692,0.313181937221538,0
"35",30,3,0,0.333333333333333,2.53863401817634,0.489701063627289,-0.177211854284943,0.768779055453683,0.290174818002078,0.362
"36",30,4,0,0.333333333333333,4.05087969422154,0.512093544960672,-0.180194588942646,0.768974405686159,0.268738473141979,0.42
"37",30,2,0,0.333333333333333,1.71085203034851,0.25425639611046,0.0171281663212467,-0.977581168714344,0.852927463014142,0.903
"38",30,3,0,0.333333333333333,2.62779645984153,0.257168418616121,0.0182468789679298,-0.976907526606378,0.832446282417587,0.956
"39",30,4,0,0.333333333333333,4.10299739093528,0.25727707682887,0.0215255347112506,-0.981310604108451,0.804474296461453,0.649
"40",30,2,0,0.333333333333333,1.5682317051216,0.519406953482218,0.461906712885004,-0.676284005418067,0.256341021757306,0.273
"41",30,3,0,0.333333333333333,2.53501512810351,0.549492536070994,0.460505418046189,-0.671878819923053,0.235565613862173,0
"42",30,4,0,0.333333333333333,4.12579168195186,0.578835578599741,0.460935953545123,-0.67198817554264,0.219729581680861,0.478
"43",30,2,0,0.333333333333333,1.69047518244575,0.513656728061082,0.219597766347559,0.0305218677454424,0.375938393684789,0
"44",30,3,0,0.333333333333333,2.67546312705816,0.538679992612576,0.221632080735087,0.030342789844155,0.355701516321399,0.383
"45",30,4,0,0.333333333333333,4.27319436630543,0.565026894641818,0.219962756548762,0.0305387661238201,0.331294186913975,0.361
"46",30,2,0,0.333333333333333,1.57700607452132,0.488648033010744,0.263566001746208,0.198302121583045,0.276904749487896,0.051
"47",30,3,0,0.333333333333333,2.54422806638753,0.529771873279749,0.266857844560756,0.199375796285774,0.252801283644494,0.266
"48",30,4,0,0.333333333333333,4.06421319961857,0.550605627650161,0.265588645591651,0.197335077542549,0.231432995929649,0.35
"49",30,2,0,0.333333333333333,2.08403031459083,0.387690271903454,0.494933680906438,0.0511157398779246,3.30257102984653,3.124
"50",30,3,0,0.333333333333333,3.08724465575619,0.39140570079857,0.500526504509905,0.0518670332314409,3.39443733612062,1.978
"51",30,4,0,0.333333333333333,4.81270359693739,0.400387389884156,0.499479491482222,0.0521143413311504,3.36596027164844,1.443
"52",30,2,0,0.333333333333333,1.59257079719566,0.544494757242254,-0.126919482542184,-0.575075762608301,0.252582120213557,0.263
"53",30,3,0,0.333333333333333,2.56708023334759,0.584762540066257,-0.12058850172302,-0.576057035447815,0.229080542261561,0.307
"54",30,4,0,0.333333333333333,4.15816366880481,0.604753437948472,-0.124721510764589,-0.578684688925726,0.211676636829627,0
"55",30,2,0,0.333333333333333,1.63098899463499,0.543190684976252,0.122859578674497,0.188749632995744,0.27381678627045,0.304
"56",30,3,0,0.333333333333333,2.6053211123535,0.581990481046857,0.127213361783176,0.188874742104337,0.248477257110263,0.406
"57",30,4,0,0.333333333333333,4.18235356510239,0.59764013983162,0.125326484952944,0.19252680494954,0.23391495159114,0.316
"58",30,2,0,0.333333333333333,1.89948935914282,0.331520916990656,-0.317958010922903,-0.34997296427932,1.38363451472597,1.254
"59",30,3,0,0.333333333333333,2.87864942889683,0.338566793683739,-0.321496277790331,-0.35457443068187,1.4064871331529,0.602
"60",30,4,0,0.333333333333333,4.53585471001259,0.347111143968111,-0.318322983498303,-0.35214488043345,1.35527328281645,0.862
"61",30,2,0,0.333333333333333,1.57161131839865,0.412417896782667,-0.0301785336211111,-0.468932427906972,0.356742197925421,0.336
"62",30,3,0,0.333333333333333,2.55279347719089,0.43842307693254,-0.0243487024083296,-0.479954777983254,0.331273162509546,0.36
"63",30,4,0,0.333333333333333,4.03454189545067,0.451286412207279,-0.0292652982450161,-0.484679085702733,0.306237708681184,0
"64",30,2,0,0.333333333333333,1.55204696140762,0.542436060059913,0.052216799117389,-0.755514141132226,0.235853974512759,0.261
"65",30,3,0,0.333333333333333,2.56699961963752,0.583079540739207,0.05242743325436,-0.758593240577417,0.214660701542894,0.307
"66",30,4,0,0.333333333333333,4.11313051120736,0.612640697087931,0.0537042812789082,-0.756149901511879,0.199541517185238,0.306
"67",30,2,0,0.333333333333333,1.59713632888542,0.459815010060096,0.189355988339316,-0.613050638899797,0.337371889691798,0.316
"68",30,3,0,0.333333333333333,2.56541964045768,0.49143427357411,0.195732052135966,-0.609120725591055,0.307354239886901,0.359
"69",30,4,0,0.333333333333333,4.13144222752309,0.510069046289539,0.191882417312792,-0.609957191421531,0.294224933917207,0.285
"70",30,2,0,0.333333333333333,1.54869791443296,0.469009223487304,-0.230462722004496,-0.282249498656859,0.276289715042493,0.31
"71",30,3,0,0.333333333333333,2.43937232834297,0.496521943019946,-0.23360448585378,-0.287309218239056,0.251828785945697,0
"72",30,4,0,0.333333333333333,3.92437135234316,0.515363431515415,-0.235701543793675,-0.28371645227043,0.232325187322185,0.352
"73",30,2,0,0.333333333333333,1.61522135698575,0.454818890105221,-0.174142678632417,0.178102888705898,0.350003657598669,0.366
"74",30,3,0,0.333333333333333,2.5946338428464,0.481227231037013,-0.174700524894791,0.179980928502605,0.325690924486261,0.378
"75",30,4,0,0.333333333333333,4.14524176970648,0.490359259171196,-0.17566103184851,0.179987981170387,0.306501787650557,0
"76",30,2,0,0.333333333333333,1.81937632846652,0.46661142081876,0.0156255907573794,-0.340263279331667,0.746055510557996,0.998
"77",30,3,0,0.333333333333333,2.83653516295295,0.476423310101542,0.00592207212719851,-0.347744445518422,0.723766027043252,0.608
"78",30,4,0,0.333333333333333,4.43455121722898,0.49141591618377,0.0111415314782406,-0.340870528354307,0.704443373009115,0
"79",30,2,0,0.333333333333333,1.74599390168773,0.406739284272722,-0.151553757243251,-0.471091037200171,0.453521877441771,0.477
