delta_true,N,order,replicate,draw_id,delta_draw
2,20,d0,1,1,1.6096521306599672
2,20,d0,1,6,1.3204803202119704
2,20,d0,1,11,5.221354811722217
2,20,d0,1,16,1.5370518115229077
2,20,d0,1,21,0.4123648822938975
2,20,d0,1,26,1.9319388137553104
2,20,d0,1,31,3.0019780180767737
2,20,d0,1,36,0.46507861408109796
2,20,d0,1,41,9.44388590456147
2,20,d0,1,46,4.8818128049083604
2,20,d0,1,51,2.1642238981796007
2,20,d0,1,56,0.4482207707614556
2,20,d0,1,61,6.885077926994452
2,20,d0,1,66,1.4951069201235707
2,20,d0,1,71,0.9680356658479958
2,20,d0,1,76,0.6880113202090133
2,20,d0,1,81,3.627539512194114
2,20,d0,1,86,0.6154570166761142
2,20,d0,1,91,1.3657283564351297
2,20,d0,1,96,1.4567572880850028
2,20,d0,1,101,1.907355173428167
2,20,d0,1,106,0.35573913507017946
2,20,d0,1,111,4.913630569739353
2,20,d0,1,116,1.0507262419671866
2,20,d0,1,121,11.074014532174747
2,20,d0,1,126,1.6303974277671183
2,20,d0,1,131,0.28186295291330726
2,20,d0,1,136,1.0969606348782346
2,20,d0,1,141,1.0541628501048892
2,20,d0,1,146,5.030218364191383
2,20,d0,1,151,1.367501422984735
2,20,d0,1,156,0.28344524887281486
2,20,d0,1,161,0.68925303444318
2,20,d0,1,166,0.7596764906146618
2,20,d0,1,171,4.029077994351993
2,20,d0,1,176,0.8019839802496708
2,20,d0,1,181,0.763139392469073
2,20,d0,1,186,2.5646992949463203
2,20,d0,1,191,2.3640160210710035
2,20,d0,1,196,0.2810555264065181
2,20,d0,1,201,4.0268285953081815
2,20,d0,1,206,0.10164890969603178
2,20,d0,1,211,1.2949135220603174
2,20,d0,1,216,1.569825843318913
2,20,d0,1,221,0.363717045431503
2,20,d0,1,226,1.316300815331792
2,20,d0,1,231,1.0288313973229959
2,20,d0,1,236,0.9799389913255716
2,20,d0,1,241,1.650578477164442
2,20,d0,1,246,0.7226697631052119
2,20,d0,1,251,10.90773623858262
2,20,d0,1,256,6.198361626375956
2,20,d0,1,261,1.438682285144446
2,20,d0,1,266,3.8503635099644997
2,20,d0,1,271,2.7976990509595696
2,20,d0,1,276,3.0145618842600683
2,20,d0,1,281,0.795493533116467
2,20,d0,1,286,1.2558658433167644
2,20,d0,1,291,0.2013327914030482
2,20,d0,1,296,1.9595669019729307
2,20,d0,1,301,0.08665149281793201
2,20,d0,1,306,1.8685601876780291
2,20,d0,1,311,7.237122838535255
2,20,d0,1,316,1.8459800308367573
2,20,d0,1,321,2.161459971302248
2,20,d0,1,326,1.1273907098682054
2,20,d0,1,331,3.4368030974207406
2,20,d0,1,336,0.8892152302130882
2,20,d0,1,341,0.2621299634600485
2,20,d0,1,346,0.5930991074430064
2,20,d0,1,351,0.9925405187789803
2,20,d0,1,356,1.8205880356566573
2,20,d0,1,361,3.6364675217537874
2,20,d0,1,366,0.8767604520440795
2,20,d0,1,371,0.3810129944979276
2,20,d0,1,376,1.0748276739485272
2,20,d0,1,381,0.29719984558996415
2,20,d0,1,386,0.4104537828683293
2,20,d0,1,391,3.184307220083087
2,20,d0,1,396,4.191257918552286
2,20,d0,1,401,1.9118329893180426
2,20,d0,1,406,0.9270793999977363
2,20,d0,1,411,1.4261700913372983
2,20,d0,1,416,2.199908503923642
2,20,d0,1,421,2.253171842545859
2,20,d0,1,426,0.8844543738280524
2,20,d0,1,431,2.6445110807620296
2,20,d0,1,436,0.29315098183661353
2,20,d0,1,441,1.3374652160319982
2,20,d0,1,446,3.4093980854125743
2,20,d0,1,451,0.7555922038366578
2,20,d0,1,456,0.4989160349399825
2,20,d0,1,461,7.4414460037018655
2,20,d0,1,466,7.476795030519063
2,20,d0,1,471,0.8054426741960973
2,20,d0,1,476,1.1736188743812985
2,20,d0,1,481,0.543819395604925
2,20,d0,1,486,2.116746764034207
2,20,d0,1,491,0.8170526006088134
2,20,d0,1,496,1.4179490393577676
2,20,d0,1,501,1.2419236622359688
2,20,d0,1,506,3.2409786678568655
2,20,d0,1,511,0.7191956625001192
2,20,d0,1,516,0.576276292797553
2,20,d0,1,521,0.8493033287243748
