epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,0.005218959021606295,-0.6420348510941423,logspline,NA,0,20,d0,1
0.02,0.0054926057662523144,0.010420054018847047,-0.6403294388844084,logspline,NA,0,20,d0,1
0.03,0.008238805544908143,0.0156033461386611,-0.6386300120508003,logspline,NA,0,20,d0,1
0.04,0.0109848816048883,0.02076889631868606,-0.6369365703434081,logspline,NA,0,20,d0,1
0.05,0.01373079271778126,0.02591676528797615,-0.6352491134124468,logspline,NA,0,20,d0,1
0.060000000000000005,0.016476497664728397,0.031047013567715664,-0.6335676408082137,logspline,NA,0,20,d0,1
0.06999999999999999,0.01922195523881009,0.036159701471929706,-0.6318921519810962,logspline,NA,0,20,d0,1
0.08,0.021967124247430476,0.041254889108194526,-0.6302226462816428,logspline,NA,0,20,d0,1
0.09,0.02471196351470038,0.04633263637834362,-0.6285591229605809,logspline,NA,0,20,d0,1
0.09999999999999999,0.02745643188381845,0.051393002979171376,-0.6269015811688403,logspline,NA,0,20,d0,1
0.11,0.030200488219449886,0.05643604840313565,-0.6252500199576211,logspline,NA,0,20,d0,1
0.12,0.032944091410102745,0.06146183193905741,-0.6236044382784445,logspline,NA,0,20,d0,1
0.13,0.03568720037050136,0.06647041267281684,-0.6219648349831928,logspline,NA,0,20,d0,1
0.14,0.03842977404395676,0.07146184948804879,-0.6203312088241855,logspline,NA,0,20,d0,1
0.15000000000000002,0.04117177140473359,0.07643620106683491,-0.6187035584542434,logspline,NA,0,20,d0,1
0.16,0.04391315146041354,0.08139352589039284,-0.6170818824267503,logspline,NA,0,20,d0,1
0.17,0.04665387325425476,0.08633388223976479,-0.6154661791957455,logspline,NA,0,20,d0,1
0.18000000000000002,0.04939389586754706,0.09125732819650212,-0.6138564471159988,logspline,NA,0,20,d0,1
0.19,0.05213317842196275,0.0961639216433483,-0.6122526844430993,logspline,NA,0,20,d0,1
0.2,0.054871680081902546,0.10105372026491932,-0.6106548893335492,logspline,NA,0,20,d0,1
0.21000000000000002,0.057609360056836666,0.10592678154838198,-0.609063059844863,logspline,NA,0,20,d0,1
0.22,0.060346177603640506,0.11078316278412959,-0.6074771939356699,logspline,NA,0,20,d0,1
0.23,0.06308209202892474,0.11562292106645611,-0.6058972894658299,logspline,NA,0,20,d0,1
0.24000000000000002,0.06581706269135969,0.12044611329422628,-0.6043233441965362,logspline,NA,0,20,d0,1
0.25,0.06855104900399345,0.12525279617154572,-0.6027553557904477,logspline,NA,0,20,d0,1
0.26,0.07128401043656375,0.13004302620842667,-0.6011933218118044,logspline,NA,0,20,d0,1
0.27,0.07401590651780321,0.13481685972145252,-0.5996372397265592,logspline,NA,0,20,d0,1
0.28,0.07674669683773747,0.13957435283444086,-0.5980871069025229,logspline,NA,0,20,d0,1
0.29000000000000004,0.07947634104997642,0.14431556147910185,-0.5965429206094905,logspline,NA,0,20,d0,1
0.3,0.08220479887399783,0.14904054139569634,-0.5950046780193947,logspline,NA,0,20,d0,1
0.31,0.08493203009742345,0.15374934813369223,-0.5934723762064599,logspline,NA,0,20,d0,1
0.32,0.08765799457828682,0.15844203705241577,-0.5919460121473508,logspline,NA,0,20,d0,1
0.33,0.09038265224729335,0.16311866332170344,-0.5904255827213364,logspline,NA,0,20,d0,1
0.34,0.0931059631100714,0.16777928192255054,-0.5889110847104595,logspline,NA,0,20,d0,1
0.35000000000000003,0.09582788724941517,0.17242394764775737,-0.5874025147997048,logspline,NA,0,20,d0,1
0.36000000000000004,0.09854838482751818,0.17705271510257314,-0.5858998695771745,logspline,NA,0,20,d0,1
0.37,0.1012674160881978,0.18166563870533858,-0.584403145534273,logspline,NA,0,20,d0,1
0.38,0.10398494135911003,0.1862627726881252,-0.5829123390658913,logspline,NA,0,20,d0,1
0.39,0.10670092105395497,0.19084417109737317,-0.5814274464705999,logspline,NA,0,20,d0,1
0.4,0.10941531567467178,0.19540988779452628,-0.5799484639508432,logspline,NA,0,20,d0,1
0.41000000000000003,0.11212808581362389,0.19995997645666597,-0.578475387613145,logspline,NA,0,20,d0,1
0.42000000000000004,0.11483919215577354,0.20449449057714153,-0.5770082134683103,logspline,NA,0,20,d0,1
0.43,0.11754859548084554,0.2090134834661992,-0.5755469374316391,logspline,NA,0,20,d0,1
0.44,0.1202562566654803,0.21351700825160957,-0.5740915553231444,logspline,NA,0,20,d0,1
0.45,0.12296213668537552,0.21800511787929122,-0.5726420628677703,logspline,NA,0,20,d0,1
0.46,0.12566619661741654,0.22247786511393408,-0.571198455695621,logspline,NA,0,20,d0,1
0.47000000000000003,0.12836839764179495,0.2269353025396188,-0.569760729342189,logspline,NA,0,20,d0,1
0.48000000000000004,0.13106870104411555,0.231377482560436,-0.5683288792485938,logspline,NA,0,20,d0,1
0.49,0.13376706821749096,0.23580445740110156,-0.566902900761821,logspline,NA,0,20,d0,1
0.5,0.13646346066462398,0.24021627910757082,-0.5654827891349672,logspline,NA,0,20,d0,1
0.51,0.1391578399998776,0.24461299954765048,-0.5640685395274905,logspline,NA,0,20,d0,1
0.52,0.1418501679513319,0.24899467041160905,-0.5626601470054687,logspline,NA,0,20,d0,1
0.53,0.1445404063628282,0.25336134321278303,-0.5612576065418525,logspline,NA,0,20,d0,1
0.54,0.14722851719599986,0.25771306928818416,-0.5598609130167366,logspline,NA,0,20,d0,1
0.55,0.14991446253228985,0.26204989979910165,-0.5584700612176229,logspline,NA,0,20,d0,1
0.56,0.15259820457495465,0.2663718857317048,-0.5570850458396984,logspline,NA,0,20,d0,1
0.5700000000000001,0.155279705651054,0.27067907789764134,-0.5557058614861107,logspline,NA,0,20,d0,1
0.5800000000000001,0.157958928213427,0.274971526934636,-0.5543325026682536,logspline,NA,0,20,d0,1
0.59,0.16063583484265387,0.2792492833070843,-0.5529649638060496,logspline,NA,0,20,d0,1
0.6,0.16331038824900315,0.28351239730664735,-0.5516032392282473,logspline,NA,0,20,d0,1
0.61,0.16598255127436423,0.2877609190528423,-0.5502473231727145,logspline,NA,0,20,d0,1
0.62,0.16865228689416528,0.2919948984936318,-0.5488972097867405,logspline,NA,0,20,d0,1
