delta_true,N,order,method,epsilon,median_log_bf10,mean_log_bf10,sd_log_bf10,q05_log_bf10,q25_log_bf10,q75_log_bf10,q95_log_bf10,n_valid
2,20,d0,ecdf,0.01,0.1629652493779409,Inf,NA,-0.4560739590282824,-0.08834917890296523,0.72258103731336365,Inf,47
2,20,d0,ecdf,0.02,0.16295774063061436,0.2479236317872629,0.49301840479473225,-0.3134758525264014,-0.1289071036029985,0.4994299772518273,1.1105324572544923,50
2,20,d0,ecdf,0.03,0.13968521839895798,0.19208098512990246,0.37019175365528867,-0.2773248666173772,-0.08836920206450154,0.43487894170004615,0.9048825709457816,50
2,20,d0,ecdf,0.04,0.16292770638230317,0.17561713638883103,0.29693245626713055,-0.25547917530146796,-0.023765067271234067,0.27625639168930627,0.7225434943177258,50
2,20,d0,ecdf,0.05,0.13473430450738486,0.16766206854680687,0.2645043207256078,-0.25203867058862695,0.01085432940677997,0.2763288638997037,0.6796313884975574,50
2,20,d0,ecdf,0.06,0.16287765193626796,0.16752724513340697,0.23796018445517114,-0.22063188229565198,-0.006425058379129846,0.2896293575754119,0.6091021447289792,50
2,20,d0,ecdf,0.06999999999999999,0.142642410994608,0.16783456250072523,0.2331522355126611,-0.18735489377316014,0.016039042863054173,0.34770579691391124,0.5283048918065927,50
2,20,d0,ecdf,0.08,0.1106218280730614,0.15034387715368439,0.21679908114078167,-0.19386736269510071,0.01377200208314366,0.3169582610708899,0.47458720527447307,50
2,20,d0,ecdf,0.09,0.11635982321965155,0.14085685849140323,0.2065248367514688,-0.1610917634141389,0.008684418205812023,0.2940619562548127,0.43699945277263885,50
2,20,d0,ecdf,0.1,0.1207533007357348,0.13182162382096585,0.19382290595648147,-0.15883498245326094,0.010666647767465575,0.260264879616567,0.41614392859964155,50
2,20,d0,ecdf,0.11,0.13073313555476018,0.12503129464683183,0.18637083197253607,-0.18487750310393192,-0.0016266683449919926,0.2229545165621279,0.40661431170677487,50
2,20,d0,ecdf,0.12,0.1275160950068253,0.11828928009991888,0.17848094911042783,-0.18267451552770653,0.005997278193507492,0.21139757898752728,0.3987327478895604,50
2,20,d0,ecdf,0.13,0.10387479514057912,0.11338416777910339,0.1701305377415164,-0.15929185048315975,0.0029229807517421862,0.2249389080948054,0.37836836357601844,50
2,20,d0,ecdf,0.14,0.11271582531948048,0.11424097493736274,0.1644195808463939,-0.14290431467263745,0.004696105178055018,0.22565623650007616,0.36674637508965696,50
2,20,d0,ecdf,0.15000000000000002,0.08897733140253095,0.11002712275549571,0.15589516030812686,-0.11552959894290207,-0.0018921129320104795,0.20624430730273519,0.38554835127155784,50
2,20,d0,ecdf,0.16,0.07680509683750154,0.10185356950066131,0.14980351757506838,-0.10344196524680543,-0.013254189039018191,0.1871951384507962,0.3699666350539079,50
2,20,d0,ecdf,0.17,0.08158588328553404,0.09162028761202394,0.1415145822879282,-0.10968769877783108,-0.016175837874122776,0.1622447473616043,0.36204183689451586,50
2,20,d0,ecdf,0.18000000000000002,0.08212123401079079,0.08638040127616299,0.13068629007166147,-0.08799863571457511,-0.01219615430337647,0.16018093796462296,0.3070912575637355,50
