delta_true,N,order,method,epsilon,median_log_bf10,mean_log_bf10,sd_log_bf10,q05_log_bf10,q25_log_bf10,q75_log_bf10,q95_log_bf10,n_valid
0,20,d0,ecdf,0.01,-0.599174802668956,Inf,NA,-1.25842043155322,-1.0266188174958957,-0.19370969456079143,1.0102631097651444,49
0,20,d0,ecdf,0.02,-0.631451571985068,-0.4757636823915745,0.6434026827168176,-1.1208993801951719,-0.9356545480374954,-0.24250736747755008,0.722573528566037,50
0,20,d0,ecdf,0.03,-0.6635162859705152,-0.4904327757804036,0.5642954354189135,-1.0345526462560868,-0.8486274109286247,-0.28903989752665277,0.5217995125106842,50
0,20,d0,ecdf,0.04,-0.6773579678277781,-0.5307549517040132,0.48547928850745087,-1.0374672765957489,-0.8743156359095144,-0.27181527869223,0.28105916775646983,50
0,20,d0,ecdf,0.05,-0.6504730508117971,-0.538441147518602,0.46901848853138683,-1.0447388864904847,-0.8844043590612211,-0.31152334204650456,0.27416628038939317,50
0,20,d0,ecdf,0.06,-0.6373998674919936,-0.5500803729057793,0.4648441957461702,-1.0267064149375684,-0.8910765122558018,-0.39331358394269944,0.1522889281016806,50
0,20,d0,ecdf,0.06999999999999999,-0.641248707588026,-0.5495438489284552,0.469034330520504,-1.0430229450771382,-0.890522984643545,-0.3576484792452209,0.15045287438376675,50
0,20,d0,ecdf,0.08,-0.6401224642994766,-0.5597438867189736,0.4720840216599482,-1.068389368504757,-0.8978890706916229,-0.34942403047564224,0.10980521519825866,50
0,20,d0,ecdf,0.09,-0.6463437585716527,-0.5604240557961188,0.4586113332899765,-1.0403551992325422,-0.8994540594906651,-0.352777703370666,0.14504822904621506,50
0,20,d0,ecdf,0.1,-0.6417973330889808,-0.5612408093442003,0.4580028592481167,-1.044926568129799,-0.8795668088437404,-0.3636736621606342,0.14761385294592716,50
0,20,d0,ecdf,0.11,-0.6554502574438098,-0.5697788095298099,0.44898318535080955,-1.0489887561361773,-0.8860182130931846,-0.3782183448700048,0.13798435720074953,50
0,20,d0,ecdf,0.12,-0.6509613299486553,-0.56676206096501,0.447517891052048,-1.0507712185274398,-0.8861708668279622,-0.403788060102706,0.14167231891949925,50
0,20,d0,ecdf,0.13,-0.6447156137180279,-0.567001301110528,0.4483169178417024,-1.0325300874557986,-0.8795325524380713,-0.39233534845249324,0.14482833117152608,50
0,20,d0,ecdf,0.14,-0.6324419216875106,-0.5645790266798957,0.45483911344980454,-1.0305123156316487,-0.8855139628678357,-0.4014989426854182,0.19691319071820912,50
0,20,d0,ecdf,0.15000000000000002,-0.6453435094700128,-0.5704557836566323,0.4539572973972276,-1.0363955336270072,-0.8798624717628137,-0.42272234004771186,0.18440834131402026,50
0,20,d0,ecdf,0.16,-0.6523680239725416,-0.5659977737473486,0.4521729317004737,-1.0290133431548472,-0.8811654022269417,-0.41120035846491243,0.1827198100124877,50
0,20,d0,ecdf,0.17,-0.6383544654908737,-0.5672585559668478,0.4478997529642601,-1.02246486887537,-0.8606949225946334,-0.4104564113204307,0.18986920742664737,50
0,20,d0,ecdf,0.18000000000000002,-0.6327148285347526,-0.5673263911959426,0.4438763337885831,-1.0190578500443088,-0.8385613798472269,-0.42870387420673256,0.21093666390722815,50
0,20,d0,ecdf,0.19,-0.6478283361511707,-0.5658599261481638,0.4399355676856154,-1.020000950850684,-0.8508959962890442,-0.4281991681227014,0.19235144746076724,50
0,20,d0,ecdf,0.2,-0.6441579042962282,-0.5660681040792928,0.4400429840296311,-1.0198258671570686,-0.8573956810364285,-0.43076602471342945,0.18886872742021626,50
0,20,d0,ecdf,0.21,-0.6299870049061856,-0.5653877844394045,0.44001413074242185,-1.020312758219273,-0.8601923192379024,-0.4395896662193387,0.17908560360697248,50
0,20,d0,ecdf,0.22,-0.6243316217999825,-0.5630972957595036,0.44133116495379227,-1.0249860367397747,-0.8498415228665478,-0.4342876066330371,0.18041205987086117,50
0,20,d0,ecdf,0.23,-0.6234027915631982,-0.5637260953033182,0.4382768826712,-1.0259163630596773,-0.8454281234057686,-0.4405132765560328,0.18549821187506033,50
0,20,d0,ecdf,0.24,-0.6144059487796649,-0.5652691809163857,0.4362440985513485,-1.0277435268960713,-0.8559341718731461,-0.4591092325313485,0.16600735219008378,50
0,20,d0,ecdf,0.25,-0.6126557880567813,-0.565007580890132,0.4361876542109277,-1.0220355512578096,-0.8589739125220195,-0.4607063840503446,0.17824068653054742,50
0,20,d0,ecdf,0.26,-0.6186233948157832,-0.5641637813992528,0.43630285394399887,-1.0133101884620783,-0.8587489385623761,-0.4643954991413598,0.15723373932806134,50
0,20,d0,ecdf,0.27,-0.6205435556469743,-0.5630795840036268,0.43262945382960283,-1.012366974390598,-0.8590732821978853,-0.4635637526950882,0.1496785514893176,50
0,20,d0,ecdf,0.28,-0.630426944874057,-0.5620930598825814,0.43049029630086627,-1.0047547728976838,-0.8634912955355011,-0.46827450118602676,0.14677285634312395,50
0,20,d0,ecdf,0.29000000000000004,-0.6262070632390101,-0.5628184246871573,0.4234938119045923,-1.0037461973330486,-0.8680450891993368,-0.46148302880327574,0.14107274047831586,50
0,20,d0,ecdf,0.3,-0.640560136899976,-0.5639668898505046,0.42051977158743253,-0.9970430850636958,-0.8629297125230839,-0.4640582533142127,0.13577640317864145,50
0,20,d0,ecdf,0.31,-0.6364291727053479,-0.5647292883811955,0.42110777829523516,-0.9974464304203741,-0.865589959677264,-0.45721078748215,0.13354287784743107,50
0,20,d0,ecdf,0.32,-0.645544028136448,-0.5634787009637815,0.4196498996206141,-0.9900431263624013,-0.8568566167692582,-0.4549120969787626,0.13493945432914306,50
0,20,d0,ecdf,0.33,-0.643440249854309,-0.5628860647887761,0.4166244401773638,-0.9811600981834175,-0.8556588430702289,-0.4593339330269534,0.13031737227559678,50
0,20,d0,ecdf,0.34,-0.6376882560522559,-0.5630311679259347,0.4143311125802573,-0.9844670652575718,-0.8541893302362484,-0.4657162084364057,0.11074887810230265,50
0,20,d0,ecdf,0.35000000000000003,-0.6331731998252891,-0.5622330294822464,0.4105000764440704,-0.9788492019573596,-0.8471950132263133,-0.45637626657003344,0.10784958020196057,50
0,20,d0,ecdf,0.36000000000000004,-0.6316067440750208,-0.5646224837618514,0.4031594207097025,-0.9697093505853744,-0.8409685176732682,-0.4625066670769756,0.07898105376014061,50
0,20,d0,ecdf,0.37,-0.6345087261045012,-0.5633079986789328,0.40192845999847904,-0.9676945573941595,-0.8385689082100174,-0.46258949273972993,0.06878546243181195,50
0,20,d0,ecdf,0.38,-0.6372641541979782,-0.5642133011522177,0.4008197972351521,-0.9608746215854811,-0.8346243531008648,-0.46573164339484185,0.06876990896687125,50
0,20,d0,ecdf,0.39,-0.6357428291288565,-0.5633618173977044,0.3985313443781232,-0.9564726380505533,-0.8312032930347225,-0.4633114041129567,0.06231170331150153,50
0,20,d0,ecdf,0.4,-0.6327239824114204,-0.5636207386344498,0.3978931185321611,-0.952543093990398,-0.828636499459968,-0.45668588696841,0.06384367443201372,50
0,20,d0,ecdf,0.41,-0.631388282128746,-0.5636952454968914,0.39230539354529775,-0.9514745474833517,-0.8274556009293648,-0.4583840727953465,0.060822696209096055,50
0,20,d0,ecdf,0.42,-0.6309376071065271,-0.5638871671664459,0.39132248915659484,-0.951071365596207,-0.8269916918224873,-0.46092380617739326,0.05951563488137307,50
0,20,d0,ecdf,0.43,-0.6297831856201819,-0.5615075691319613,0.3916144687174591,-0.9496743071429739,-0.8213079407048578,-0.4620115392599222,0.06266933935560778,50
0,20,d0,ecdf,0.44,-0.6256726250969364,-0.5600787192370071,0.3885555314961351,-0.9496815066120232,-0.8225397704256144,-0.4626484899321332,0.06324592289128614,50
0,20,d0,ecdf,0.45,-0.6268682163422117,-0.5604402851084204,0.3872883042116382,-0.9456241245242076,-0.8181204387819578,-0.46962947266375177,0.07098318035202866,50
0,20,d0,ecdf,0.46,-0.6301218444206613,-0.5592591894894915,0.3843688908227621,-0.9410529182718674,-0.8173865087732661,-0.46384516795062347,0.06587178521971776,50
0,20,d0,ecdf,0.47,-0.6304978067677862,-0.5604119993382398,0.38042400407146754,-0.9428457400438748,-0.8138086398982912,-0.4586398413625942,0.05543781946951957,50
0,20,d0,ecdf,0.48,-0.630186106004639,-0.560133313080798,0.3792378872719569,-0.9373449663035105,-0.8132261975428037,-0.4569009536328567,0.047236707428061395,50
0,20,d0,ecdf,0.49,-0.6272790213710795,-0.5597148945365261,0.3763344126219138,-0.9307459368925309,-0.809347301734592,-0.4619659069483527,0.038703896439290515,50
0,20,d0,ecdf,0.5,-0.631707841645365,-0.5595344589143926,0.37293486063541015,-0.9262977589260672,-0.805071421691137,-0.46063687463732594,0.03314275983914676,50
0,20,d0,ecdf,0.51,-0.63144961821391,-0.5582365210983699,0.365804307735854,-0.921653389266031,-0.8033746029342257,-0.46099010909319443,0.02309177006415271,50
0,20,d0,ecdf,0.52,-0.6274584504227649,-0.5575519732064268,0.3636210809484557,-0.9178626338349322,-0.8043881860747824,-0.46015822341550733,0.01389833090708217,50
0,20,d0,ecdf,0.53,-0.62359009547506306,-0.5564325187099309,0.3596498510134762,-0.9137441023205519,-0.7996975137166282,-0.4579130292303392,0.015814137241753134,50
0,20,d0,ecdf,0.54,-0.6265795679862642,-0.555842998004718,0.35737144389083764,-0.9104171341947703,-0.7954221877580243,-0.46008214555107074,0.01071728092596494,50
0,20,d0,ecdf,0.55,-0.6252898781800167,-0.5563091814092599,0.35271159985835393,-0.9067463419706692,-0.7907915021454625,-0.4663523279875026,0.008388166954569756,50
0,20,d0,ecdf,0.56,-0.6258251681886381,-0.5560243074862345,0.3492079265444087,-0.9068832703560537,-0.7870658480647347,-0.47138960925096607,0.009597903886859497,50
0,20,d0,ecdf,0.5700000000000001,-0.6240646093677857,-0.5556405187725537,0.3455765194947634,-0.9007878975097985,-0.7856706793082749,-0.46782674503499627,0.0033370531758120797,50
