epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,0.02223142502265707,-2.091243719739728,logspline,NA,0,500,d0,1
0.02,0.0054926057662523144,0.04373292236612891,-2.0746984091040077,logspline,NA,0,500,d0,1
0.03,0.008238805544908143,0.06452845785430228,-2.0582509582702473,logspline,NA,0,500,d0,1
0.04,0.0109848816048883,0.08464121043760897,-2.0419013411297815,logspline,NA,0,500,d0,1
0.05,0.01373079271778126,0.10409359802855944,-2.025649521149709,logspline,NA,0,500,d0,1
0.060000000000000005,0.016476497664728397,0.12290730248901316,-2.0094954513920786,logspline,NA,0,500,d0,1
0.06999999999999999,0.01922195523881009,0.14110329379703968,-1.993439074538536,logspline,NA,0,500,d0,1
0.08,0.021967124247430476,0.15870185342030452,-1.9774803229203801,logspline,NA,0,500,d0,1
0.09,0.02471196351470038,0.1757225969220334,-1.9616191185540053,logspline,NA,0,500,d0,1
0.09999999999999999,0.02745643188381845,0.1921844958247515,-1.9458553731816801,logspline,NA,0,500,d0,1
0.11,0.030200488219449886,0.20810589875616803,-1.9301889883176293,logspline,NA,0,500,d0,1
0.12,0.032944091410102745,0.22350455190077345,-1.9146198552993445,logspline,NA,0,500,d0,1
0.13,0.03568720037050136,0.23839761877994775,-1.8991478553440866,logspline,NA,0,500,d0,1
0.14,0.03842977404395676,0.25280169938262437,-1.8837728596104952,logspline,NA,0,500,d0,1
0.15000000000000002,0.04117177140473359,0.26673284866783525,-1.868494729265255,logspline,NA,0,500,d0,1
0.16,0.04391315146041354,0.2802065975332678,-1.853313326523445,logspline,NA,0,500,d0,1
0.17,0.04665387325425476,0.2932382098305888,-1.8382293297390278,logspline,NA,0,500,d0,1
0.18000000000000002,0.04939389586754706,0.3058433904679493,-1.8232463239590342,logspline,NA,0,500,d0,1
0.19,0.05213317842196275,0.3180384158851091,-1.8083706121610759,logspline,NA,0,500,d0,1
0.2,0.054871680081902546,0.32983999761748234,-1.7936103112566568,logspline,NA,0,500,d0,1
0.21000000000000002,0.057609360056836666,0.3412648293002147,-1.7789737458930592,logspline,NA,0,500,d0,1
0.22,0.060346177603640506,0.35232890774788106,-1.7644675279336715,logspline,NA,0,500,d0,1
0.23,0.06308209202892474,0.3630474423113689,-1.7500965945583025,logspline,NA,0,500,d0,1
0.24000000000000002,0.06581706269135969,0.37343489799136054,-1.7358645706790587,logspline,NA,0,500,d0,1
0.25,0.06855104900399345,0.38350503626307353,-1.7217740444406866,logspline,NA,0,500,d0,1
0.26,0.07128401043656375,0.39327095344702645,-1.7078267785640584,logspline,NA,0,500,d0,1
0.27,0.07401590651780321,0.4027451167850453,-1.6940238742549865,logspline,NA,0,500,d0,1
0.28,0.07674669683773747,0.4119393983696916,-1.680365899598476,logspline,NA,0,500,d0,1
0.29000000000000004,0.07947634104997642,0.42086510706506713,-1.6668529910541587,logspline,NA,0,500,d0,1
0.3,0.08220479887399783,0.42953301854747433,-1.6534849343603575,logspline,NA,0,500,d0,1
0.31,0.08493203009742345,0.43795340358562407,-1.6402612295191894,logspline,NA,0,500,d0,1
0.32,0.08765799457828682,0.4461360546719337,-1.62718114336198,logspline,NA,0,500,d0,1
0.33,0.09038265224729335,0.45409031110889636,-1.6142437523424469,logspline,NA,0,500,d0,1
0.34,0.0931059631100714,0.4618250826474881,-1.60144797757974,logspline,NA,0,500,d0,1
0.35000000000000003,0.09582788724941517,0.46934887176806184,-1.5887926137094683,logspline,NA,0,500,d0,1
