epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.99,0.26540122881172484,0.30691803028207765,-0.14533795767318655,logspline,NA,1,500,d0,1
1,0.2679527876852174,0.311304898940578,-0.14996201472556833,logspline,NA,1,500,d0,1
0.01,0.002746323504498009,0,Inf,ecdf,0,1,500,d0,1
0.02,0.0054926057662523144,0,Inf,ecdf,0,1,500,d0,1
0.03,0.008238805544908143,0,Inf,ecdf,0,1,500,d0,1
0.04,0.0109848816048883,0,Inf,ecdf,0,1,500,d0,1
0.05,0.01373079271778126,0,Inf,ecdf,0,1,500,d0,1
0.060000000000000005,0.016476497664728397,0,Inf,ecdf,0,1,500,d0,1
0.06999999999999999,0.01922195523881009,0,Inf,ecdf,0,1,500,d0,1
0.08,0.021967124247430476,0,Inf,ecdf,0,1,500,d0,1
0.09,0.02471196351470038,0,Inf,ecdf,0,1,500,d0,1
0.09999999999999999,0.02745643188381845,0,Inf,ecdf,0,1,500,d0,1
0.11,0.030200488219449886,0,Inf,ecdf,0,1,500,d0,1
0.12,0.032944091410102745,0,Inf,ecdf,0,1,500,d0,1
0.13,0.03568720037050136,0,Inf,ecdf,0,1,500,d0,1
0.14,0.03842977404395676,0,Inf,ecdf,0,1,500,d0,1
0.15000000000000002,0.04117177140473359,3.333333333333333e-4,4.816365150114872,ecdf,3.332777731473764e-4,1,500,d0,1
0.16,0.04391315146041354,3.333333333333333e-4,4.880826141570758,ecdf,3.332777731473764e-4,1,500,d0,1
0.17,0.04665387325425476,3.333333333333333e-4,4.941368240473134,ecdf,3.332777731473764e-4,1,500,d0,1
0.18000000000000002,0.04939389586754706,3.333333333333333e-4,4.99843913979288,ecdf,3.332777731473764e-4,1,500,d0,1
0.19,0.05213317842196275,6.666666666666666e-4,4.359266676101123,ecdf,4.7124735975289457e-4,1,500,d0,1
0.2,0.054871680081902546,6.666666666666666e-4,4.4104624780269,ecdf,4.7124735975289457e-4,1,500,d0,1
0.21000000000000002,0.057609360056836666,6.666666666666666e-4,4.459150163594902,ecdf,4.7124735975289457e-4,1,500,d0,1
