delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
2,20,d0,1,0.11975123841453694,1.1272164085581438,9.13591529807365,9.016164059659113
2,20,d1,1,0.1965705745087991,1.2172212226368087,9.20760190288143,9.011031328372631
2,20,d2,1,0.20643483429239673,1.2292876242089985,9.205788086583219,8.999353252290822
2,20,d3,1,0.1921390875954483,1.2118390570242248,9.210372924589386,9.018233836993938
2,50,d0,1,6.707946309525333,818.8871705982599,35.98082489078932,29.27287858126399
2,50,d1,1,6.8960033794864515,988.3168843645195,36.16490701337696,29.26890363389051
2,50,d2,1,6.942193293051961,1035.0378686025804,36.217548686806374,29.275355393754413
2,50,d3,1,6.959773628789396,1053.395071932556,36.238572096863656,29.27879846807426
2,100,d0,1,18.986952977381257,176168763.55130672,72.11782147246825,53.13086849508699
2,100,d1,1,19.21201791244674,220634470.92740265,72.34907488921291,53.137056976766175
2,100,d2,1,19.28332883562834,236942685.28880417,72.41891750327191,53.135588667643574
2,100,d3,1,19.310016825414586,243351346.01414844,72.44491050083352,53.13489367541893
2,200,d0,1,33.52452393096452,362673439997101.7,152.60568311769995,119.08115918673543
2,200,d1,1,33.74724358691864,453149671234947.25,152.823699748717,119.07645616179835
2,200,d2,1,33.78345041956135,469857427825142.75,152.86054689976066,119.07709648019932
2,200,d3,1,33.78919815288579,472565819119943.6,152.87526394396957,119.08606579108378
2,20,d0,2,0.12853944079437163,1.1371662711478192,9.143104706277937,9.014565265483565
2,20,d1,2,0.2129969020404321,1.237380817881919,9.220663003445104,9.007666101404672
2,20,d2,2,0.19387196699661935,1.2139408485133145,9.215075950164248,9.021203983167629
2,20,d3,2,0.19038986487498022,1.209721133512123,9.218598907632003,9.028209042757023
2,50,d0,2,6.71817232401488,827.3040850675314,35.98177958339904,29.26360725938416
2,50,d1,2,6.906429649817245,998.6752490933245,36.1717962383404,29.265366588523154
2,50,d2,2,6.976587845268973,1071.2568296229394,36.23424614496578,29.257658299696807
2,50,d3,2,6.975695280889866,1070.301090528729,36.231362232201334,29.25566695131147
2,100,d0,2,18.99667953321456,177890639.2511954,72.13863470569144,53.141955172476884
2,100,d1,2,19.224261709923702,223352480.12819633,72.37055110515428,53.146289395230575
2,100,d2,2,19.292831872490126,239205093.2081138,72.4316750847165,53.13884321222638
2,100,d3,2,19.308197542119593,242909023.45255432,72.44100811818326,53.13281057606367
2,200,d0,2,33.51896449109378,360662773084325.06,152.60657652486992,119.08761203377614
2,200,d1,2,33.71785937141826,440027953461969.25,152.813683100915,119.09582372949674
2,200,d2,2,33.76905250352165,463140927857126.3,152.87325463864542,119.10420213512377
2,200,d3,2,33.777813664617796,467216407032350.1,152.87067016010425,119.09285649548646
2,20,d0,3,0.1077637303421266,1.113784560799301,9.118874399180216,9.01111066883809
2,20,d1,3,0.18511478468235154,1.2033565591009645,9.193516425053426,9.008401640371074
2,20,d2,3,0.19759796174797728,1.2184724228116932,9.221505651545886,9.023907689797909
2,20,d3,3,0.19896617272330452,1.220140691165003,9.210341528221313,9.011375355498009
2,50,d0,3,6.710569495674363,821.0380839714877,35.98237294446996,29.271803448795595
2,50,d1,3,6.921319077615237,1013.6562042675909,36.18820356588021,29.26688448826497
2,50,d2,3,6.9567825411407505,1050.2489824040877,36.23272391761478,29.275941376474027
2,50,d3,3,6.9787818044073795,1073.609703444594,36.252720452443086,29.273938648035706
2,100,d0,3,19.004016456286678,179200608.8834924,72.14645904774702,53.14244259146034
2,100,d1,3,19.20274105140627,218597140.22782975,72.3531794074171,53.15043835601083
2,100,d2,3,19.283926250025885,237084280.55170205,72.4306860508452,53.14675980081931
2,100,d3,3,19.29264697584845,239160869.07828003,72.43749659860069,53.14484962275224
2,200,d0,3,33.514586449395495,359087227842695.8,152.60695557013958,119.09236912074408
2,200,d1,3,33.73568932899431,447943994832486.4,152.81495333804907,119.07926400905475
2,200,d2,3,33.796866711368736,476203648366667.75,152.87240541260292,119.07553870123418
2,200,d3,3,33.79226302307279,474016393786396.8,152.8695712940649,119.07730827099212
2,20,d0,4,0.13624515226245215,1.1459627945334705,9.14591149569899,9.009666343436537
2,20,d1,4,0.19518893635867052,1.215540624614983,9.206040875849512,9.010851939490841
2,20,d2,4,0.22187581669863832,1.248416335775613,9.227576822904146,9.005701006205507
2,20,d3,4,0.19120780654080427,1.2107110196106041,9.201345579778133,9.010137773237329
2,50,d0,4,6.7322386148304965,839.0234154435424,36.00244477616009,29.270206161329593
2,50,d1,4,6.904072848669351,996.324341518902,36.17422774971477,29.270154901045416
2,50,d2,4,6.943372548252938,1036.259162359314,36.22203842735307,29.27866587910013
2,50,d3,4,6.972859973179702,1067.270755590627,36.24188185112526,29.269021877945555
2,100,d0,4,19.024762542885895,182957152.28765228,72.14687359211783,53.12211104923193
2,100,d1,4,19.22750931249793,224079019.3343561,72.36900178126581,53.14149246876788
2,100,d2,4,19.31611016517318,244838695.30645865,72.43182688057959,53.115716715406414
