delta_true,N,order,replicate,draw_id,delta_draw
0,500,d0,1,1,2.0689964228951823
0,500,d0,1,6,0.5008381873050141
0,500,d0,1,11,2.5333485830392606
0,500,d0,1,16,0.03893804054887611
0,500,d0,1,21,0.9198389948099326
0,500,d0,1,26,0.2197049706651825
0,500,d0,1,31,1.9463445988715011
0,500,d0,1,36,0.022606179625442122
0,500,d0,1,41,0.4310984860069385
0,500,d0,1,46,0.5631219619859493
0,500,d0,1,51,0.523947828998873
0,500,d0,1,56,3.5207739722687093
0,500,d0,1,61,0.012584709015281643
0,500,d0,1,66,0.041389302863722145
0,500,d0,1,71,0.4159379083765407
0,500,d0,1,76,0.13795147087857518
0,500,d0,1,81,0.08362279430224442
0,500,d0,1,86,5.758758062691219
0,500,d0,1,91,0.11235592381134035
0,500,d0,1,96,0.039983114671425575
0,500,d0,1,101,0.9817778514231215
0,500,d0,1,106,0.25824162059419903
0,500,d0,1,111,0.391687384682705
0,500,d0,1,116,0.713218366553576
0,500,d0,1,121,0.8966123193337047
0,500,d0,1,126,0.7330820848561221
0,500,d0,1,131,0.042138690612538096
0,500,d0,1,136,0.02165736338587741
0,500,d0,1,141,0.4125402117753531
0,500,d0,1,146,0.17569441023273427
0,500,d0,1,151,2.3036580990055024
0,500,d0,1,156,0.21737589148950065
0,500,d0,1,161,0.0618252126305963
0,500,d0,1,166,0.5534220048121269
0,500,d0,1,171,0.12429695115638022
0,500,d0,1,176,0.47655750485111
0,500,d0,1,181,2.004143204953003
0,500,d0,1,186,0.19256704533542948
0,500,d0,1,191,1.615594667544553
0,500,d0,1,196,3.5571254074514047
0,500,d0,1,201,0.12236358780009186
0,500,d0,1,206,4.278301672310373
0,500,d0,1,211,0.7054297563301751
0,500,d0,1,216,1.2419291053191979
0,500,d0,1,221,0.009399918961586415
0,500,d0,1,226,0.27356841197362247
0,500,d0,1,231,0.0946841818782796
0,500,d0,1,236,0.29126439212702376
0,500,d0,1,241,0.5646310360186887
0,500,d0,1,246,1.4696982177481788
0,500,d0,1,251,0.4434475985998792
0,500,d0,1,256,0.37980281076917394
0,500,d0,1,261,0.16019607981904876
0,500,d0,1,266,0.09571298393237684
0,500,d0,1,271,0.05784346599365731
0,500,d0,1,276,0.03486482917218416
0,500,d0,1,281,1.3184238611210617
0,500,d0,1,286,0.10384584848137522
0,500,d0,1,291,0.40064985821504195
0,500,d0,1,296,0.15006529822472267
0,500,d0,1,301,0.06344949254725515
0,500,d0,1,306,0.07798426008876533
0,500,d0,1,311,2.262337319441062
0,500,d0,1,316,0.07502763292931569
0,500,d0,1,321,0.1216663279862504
0,500,d0,1,326,0.22814038751650423
0,500,d0,1,331,2.0591148166896858
0,500,d0,1,336,0.03600576924168971
0,500,d0,1,341,0.14323290534777047
0,500,d0,1,346,0.7066254140629595
0,500,d0,1,351,0.5783655532047903
