delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
3,100,d3,2,32.25362207190023,101758357238475.8,71.49108775680286,39.237465684902624
3,200,d0,2,59.41442411153446,6358527253890687e10,151.327135959906,91.91271184837154
3,200,d1,2,59.64182161515281,7982042174406249e10,151.53890940459243,91.89708778943962
3,200,d2,2,59.699322077722414,8454465411653806e10,151.59365393893162,91.89433186120921
3,200,d3,2,59.672880627030025,823384667472341e11,151.5718569183812,91.89897629135118
3,20,d0,3,1.6722576386987607,5.324174300848357,8.005276122522307,6.333018483823547
3,20,d1,3,1.8062451406757498,6.08754658335385,8.152174899058435,6.3459297583826855
3,20,d2,3,1.8516434924610463,6.3702804318989905,8.201128412219724,6.349484919758678
3,20,d3,3,1.8488163989701283,6.352296486679873,8.197458685226705,6.348642286256577
3,50,d0,3,13.176960348964549,528057.4422782166,34.863574190062884,21.686613841098335
3,50,d1,3,13.358072201722443,632902.8423343629,35.039892623361276,21.681820421638832
3,50,d2,3,13.420111572510184,673411.3043267237,35.10292842519452,21.682816852684336
3,50,d3,3,13.414172493150659,669423.7141769727,35.09335860254403,21.67918610939337
3,100,d0,3,31.994715643255695,78546792289732.02,71.22571111814717,39.23099547489148
3,100,d1,3,32.19052718827964,95536280164168.8,71.42310322491892,39.23257603663928
3,100,d2,3,32.27473567713328,103929684635743.81,71.50511890654741,39.23038322941413
3,100,d3,3,32.26181246840472,102595220976577.94,71.4963856957753,39.23457322737058
3,200,d0,3,59.43351450342908,6481080100031804e10,151.3393723735025,91.90585787007342
3,200,d1,3,59.654309327649315,8082344592644763e10,151.55108496177291,91.8967756341236
3,200,d2,3,59.727367326057404,8694929165601668e10,151.61234389426863,91.88497656821123
3,200,d3,3,59.71087931231638,8552742463353346e10,151.6160322315024,91.90515291918602
3,20,d0,4,1.665468279264446,5.288149000568405,8.005260445316036,6.33979216605159
3,20,d1,4,1.8222903026736823,6.186010073357438,8.162388849648456,6.340098546974774
3,20,d2,4,1.852026939018935,6.3727235623784395,8.19343735984283,6.3414104208238955
3,20,d3,4,1.8451054924408972,6.328767392308058,8.193624418472945,6.348518926032048
3,50,d0,4,13.184862069463634,532246.5333115738,34.86856768436771,21.683705614904078
3,50,d1,4,13.347110088032462,626002.7781630064,35.02843345419871,21.68132336616625
3,50,d2,4,13.386637848493791,651242.8209487748,35.0732660902591,21.686628241765305
3,50,d3,4,13.405610593490316,663716.6420589195,35.1012839728956,21.695673379405285
3,100,d0,4,31.99372291976205,78468855734800.6,71.23041461656966,39.23669169680761
3,100,d1,4,32.19066761539416,95549696990345.58,71.41885279683923,39.22818518144507
3,100,d2,4,32.263521996648976,102770760406618.88,71.48960448233206,39.22608248568308
3,100,d3,4,32.268134159388175,103245850632987.31,71.50464539181216,39.236511232423986
3,200,d0,4,59.44756567887927,6572789698564339e10,151.3345170766396,91.88695139776033
3,200,d1,4,59.645360619088606,801034069783457e11,151.54261135812786,91.89725073903925
3,200,d2,4,59.71914414828882,8623722391621647e10,151.61614437317218,91.89700022488336
3,200,d3,4,59.7100689770145,8545814681499607e10,151.60569929139652,91.89563031438202
3,20,d0,5,1.667574715601206,5.299299889973609,8.010945496903943,6.343370781302737
3,20,d1,5,1.8257536797984537,6.207471702544254,8.169443926324588,6.343690246526134
3,20,d2,5,1.8440626395922566,6.3221708594090025,8.18907925397917,6.345016614386913
3,20,d3,5,1.8764428264042534,6.530234320950974,8.220228640614382,6.343785814210128
3,50,d0,5,13.191040387142532,535545.1007841013,34.86646849077045,21.67542810362792
3,50,d1,5,13.340259136458723,621728.7208417364,35.01697861416557,21.67671947770685
3,50,d2,5,13.400767202621793,660509.775259176,35.07667643793374,21.67590923531195
3,50,d3,5,13.4118758050959,667888.0209082793,35.09275009358275,21.68087428848685
3,100,d0,5,31.985169928412738,77800574267247.25,71.20309397950989,39.21792405109715
3,100,d1,5,32.212616490227575,97670090329129.48,71.43228449014917,39.2196679999216
3,100,d2,5,32.26769108246426,103200114912051.36,71.4839329019961,39.21624181953184
3,100,d3,5,32.28422185876294,104920271516074.98,71.5036619081826,39.21944004941965
3,200,d0,5,59.4267619890764,6437463938741392e10,151.3288452727845,91.9020832837081
3,200,d1,5,59.65151813955467,8059816703055269e10,151.5491303464825,91.89761220692785
3,200,d2,5,59.70479438747978,850085768589427e11,151.60465842701007,91.89986403953029
3,200,d3,5,59.71023222864331,8547209913549686e10,151.60446134142177,91.89422911277846
3,20,d0,6,1.6712836584193456,5.318991184611404,8.019120067998253,6.347836409578908
3,20,d1,6,1.8201119036654294,6.172549142111381,8.15995909736022,6.339847193694791
3,20,d2,6,1.8449038982914203,6.327491678420918,8.193057954496195,6.348154056204775
3,20,d3,6,1.864109599978855,6.450190078954793,8.210299323402815,6.34618972342396
3,50,d0,6,13.186015497685215,532860.7956696027,34.8705581691719,21.684542671486685
3,50,d1,6,13.370215123145158,640634.9821916166,35.04510182743543,21.674886704290273
3,50,d2,6,13.396075778976996,657418.3014586841,35.089376091137886,21.69330031216089
3,50,d3,6,13.399745544301489,659835.304549613,35.076724907057155,21.676979362755667
3,100,d0,6,31.994908590302785,78561949123548.84,71.22992298225238,39.23501439194959
3,100,d1,6,32.219421588168856,98337011518035.5,71.44152960681147,39.222108018642615
3,100,d2,6,32.2769968471269,104164953210968.42,71.50706477128546,39.230067924158554
3,100,d3,6,32.28062725432115,104543801677496.28,71.50809065753644,39.22746340321529
3,200,d0,6,59.45229215573015,6603929369416414e10,151.33886251716174,91.8865703614316
3,200,d1,6,59.66509760935725,8170011238939088e10,151.55315542631806,91.88805781696081
3,200,d2,6,59.744248999738204,8842960111912062e10,151.61139728413426,91.86714828439605
3,200,d3,6,59.745173862323085,8851142418030319e10,151.6198507418925,91.8746768795694
3,20,d0,7,1.673836072964491,5.3325847959621795,8.025215824702032,6.351379751737541
3,20,d1,7,1.7948628415059522,6.018649156337401,8.158492538751778,6.363629697245826
3,20,d2,7,1.8445771339094783,6.325424417285423,8.196378625544336,6.351801491634857
3,20,d3,7,1.8517211125112087,6.3707749125762225,8.206216399290485,6.354495286779276
3,50,d0,7,13.196872969364087,538677.8387124983,34.86608737397628,21.66921440461219
3,50,d1,7,13.35009605914557,627874.7978828162,35.02274385205579,21.67264779291022
3,50,d2,7,13.419379893680386,672918.7637443334,35.08635082605343,21.666970932373047
3,50,d3,7,13.417735415809663,671813.0731196208,35.090442896015205,21.672707480205542
3,100,d0,7,32.004389101890204,79310298354187.6,71.23129709850006,39.22690799660986
3,100,d1,7,32.20656864045851,97081178914792.98,71.43153911067594,39.224970470217436
3,100,d2,7,32.272788372043,103727498754510.38,71.499536751047,39.226748379004
3,100,d3,7,32.26236830092868,102652262588522.33,71.50111374058223,39.23874543965355
3,200,d0,7,59.45036883435846,6591240097608545e10,151.33590834859382,91.88553951423536
3,200,d1,7,59.64366015751858,7996730995982039e10,151.54273396434442,91.89907380682584
3,200,d2,7,59.70655992365188,851587951452144e11,151.60227101283175,91.89571108917987
3,200,d3,7,59.712905661994824,8570090881338204e10,151.61205105777114,91.89914539577632
3,20,d0,8,1.6394160282262797,5.152159917595481,7.9939434059873005,6.354527377761021
3,20,d1,8,1.8090783743903183,6.1048184816813755,8.163495518912017,6.354417144521698
3,20,d2,8,1.8430679483658947,6.315885378098388,8.191042757182908,6.347974808817013
3,20,d3,8,1.8563246470406751,6.400170604994184,8.20377572647971,6.347451079439035
3,50,d0,8,13.222506151974724,552664.3598217231,34.88004679394341,21.657540641968684
3,50,d1,8,13.355178373159507,631073.977498582,35.01811821734203,21.66293984418252
3,50,d2,8,13.418889886943415,672589.1097895898,35.08733411672766,21.668444229784246
3,50,d3,8,13.431114434994136,680861.6688078294,35.09451011519301,21.663395680198875
3,100,d0,8,31.99643789613497,78682186286794.89,71.23072215500045,39.23428425886548
3,100,d1,8,32.21076724920865,97489641689707,71.42829517249449,39.217527923285836
3,100,d2,8,32.27757409739146,104225099815918.53,71.49779528942732,39.22022119203586
3,100,d3,8,32.280275224082814,104507005575125.19,71.50264912657387,39.22237390249106
3,200,d0,8,59.43899573016428,6516701905961947e10,151.34687441211307,91.90787868194879
3,200,d1,8,59.64190610689501,7982716619548e13,151.54024202678335,91.89833591988834
3,200,d2,8,59.72492600273675,8673727922333122e10,151.61699187658468,91.89206587384793
3,200,d3,8,59.69182934529043,8391355094086722e10,151.5946463471752,91.90281700188477
3,20,d0,9,1.6708231742408097,5.316542437173116,8.014474213954855,6.343651039714046
