delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
0,20,d0,1,-0.5029221638410402,0.6047608648250148,14.249725582049887,14.752647745890927
0,20,d1,1,-0.5300478827686028,0.5885767863175477,14.214282211811282,14.744330094579885
0,20,d2,1,-0.5379495734170963,0.5839443607289201,14.223146084583217,14.761095658000313
0,20,d3,1,-0.5407908570941142,0.5822875639778718,14.204260102439973,14.745050959534087
0,50,d0,1,-0.9404497875937707,0.39045217531221155,43.75163102938541,44.69208081697918
0,50,d1,1,-1.0261402066425518,0.3583875964346267,43.64858785532296,44.67472806196551
0,50,d2,1,-1.0535134332592406,0.3487104235105874,43.61820850935535,44.67172194261459
0,50,d3,1,-1.118065247163436,0.32691167645167146,43.57569574711295,44.69376099427639
0,100,d0,1,-1.33444032016358,0.2633055010043442,94.42443381417655,95.75887413434013
0,100,d1,1,-1.5426355707854782,0.21381682877598612,94.21310916031476,95.75574473110024
0,100,d2,1,-1.633787783101127,0.19518883915435492,94.12667185411601,95.76045963721714
0,100,d3,1,-1.6731948905389942,0.1876465965969396,94.0896024944195,95.76279738495849
0,200,d0,1,-1.8091536948209068,0.16379269676999908,202.53551922771697,204.34467292253788
0,200,d1,1,-2.1838635875699595,0.11260562740517736,202.16202445269238,204.34588804026234
0,200,d2,1,-2.3181786947978935,0.09845273489029349,202.02309908761126,204.34127778240915
0,200,d3,1,-2.35954949943158,0.0944627691432897,201.98485414650457,204.34440364593615
0,20,d0,2,-0.5331255121513507,0.5867681496901742,13.875734779597751,14.408860291749102
0,20,d1,2,-0.5287859196303497,0.5893200173923856,13.880968403047824,14.409754322678173
0,20,d2,2,-0.533418219826201,0.586596423283447,13.870209384637038,14.403627604463239
0,20,d3,2,-0.5550130881872981,0.5740647476803281,13.859463297145608,14.414476385332906
0,50,d0,2,-0.8346425213159492,0.4340296100375895,42.27307281767775,43.1077153389937
0,50,d1,2,-0.9528721987390654,0.38563182006341434,42.160835971478754,43.11370817021782
0,50,d2,2,-0.9884680555793395,0.3721463621015091,42.125966744729936,43.114434800309276
0,50,d3,2,-0.99768314543158,0.3687327524527169,42.11473221631204,43.11241536174362
0,100,d0,2,-1.4554088175560338,0.23330496523645702,91.66014769897502,93.11555651653106
0,100,d1,2,-1.6830576677404139,0.18580497669400656,91.42050653651064,93.10356420425106
0,100,d2,2,-1.7715585628948674,0.1700677209213078,91.33619105724506,93.10774962013993
0,100,d3,2,-1.8152104125611146,0.16280364885329088,91.287173045402,93.10238345796311
0,200,d0,2,0.08488334820563637,1.0885900733061615,179.98044504259957,179.89556169439393
0,200,d1,2,0.056075982254299106,1.0576780454457564,179.95534429286164,179.89926831060734
0,200,d2,2,0.030071578864863113,1.0305282953591977,179.92121581457505,179.8911442357102
0,200,d3,2,0.008820263106883885,1.0088592762452113,179.9045112347624,179.8956909716555
0,20,d0,3,-0.9816453252924582,0.37469409773088364,11.933267711601802,12.91491303689426
0,20,d1,3,-1.0931222800561322,0.33516836877515715,11.818905575192316,12.912027855248448
0,20,d2,3,-1.1627818336247273,0.3126153263315743,11.758031764005803,12.92081359763053
0,20,d3,3,-1.1657256497819262,0.31169639752528877,11.743322046520866,12.909047696302792
0,50,d0,3,-1.282227238496752,0.2774187341771078,46.20597588254759,47.48820312104434
0,50,d1,3,-1.505799682756468,0.2218398214007135,45.973843334429304,47.47964301718577
0,50,d2,3,-1.5812955064047571,0.20570842891911914,45.91179129759617,47.493086804000924
0,50,d3,3,-1.6222427212770398,0.19745536478393821,45.868306354455164,47.490549075732204
0,100,d0,3,-1.3742758874847425,0.2530227464232461,97.8203869831818,99.19466287066655
0,100,d1,3,-1.6030175837350384,0.20128819663771494,97.58173122817382,99.18474881190886
0,100,d2,3,-1.686035595056893,0.18525248602519198,97.50876374678022,99.19479934183711
0,100,d3,3,-1.7071423046476042,0.18138339116933594,97.48316823557457,99.19031054022217
0,200,d0,3,-1.7294413989368707,0.17738346889439768,184.56884657362605,186.29828797256292
0,200,d1,3,-2.0628859129378156,0.12708667907370652,184.22031772835575,186.28320364129357
0,200,d2,3,-2.202749392253395,0.11049893542281647,184.0874700546369,186.2902194468903
0,200,d3,3,-2.2443550824148986,0.10599587694043713,184.0491871112821,186.293542193697
0,20,d0,4,-1.0276422554097042,0.3578496848730724,14.077241161503105,15.10488341691281
0,20,d1,4,-1.1634949812613904,0.31239246492640366,13.937816541254826,15.101311522516216
0,20,d2,4,-1.2266359691164581,0.2932775146896126,13.877471740473657,15.104107709590116
0,20,d3,4,-1.252023385910931,0.28592567318373485,13.851807334044251,15.103830719955182
0,50,d0,4,-1.3233296630713411,0.2662473105922897,43.67830778631984,45.00163744939118
0,50,d1,4,-1.5193110845170281,0.21886261287019415,43.480502878655024,44.99981396317205
0,50,d2,4,-1.6013452572262494,0.20162509785075627,43.40389417336277,45.00523943058902
0,50,d3,4,-1.655291750768086,0.1910363125833822,43.35373671608603,45.00902846685412
0,100,d0,4,-1.3502334272978942,0.25917975395457504,83.91479639177916,85.26502981907706
0,100,d1,4,-1.6215752358348539,0.19758720736201874,83.63945825611154,85.26103349194639
0,100,d2,4,-1.699645547686302,0.1827482881277197,83.56086166578405,85.26050721347035
0,100,d3,4,-1.7428334549436215,0.17502377538503308,83.51930354376196,85.26213699870559
0,200,d0,4,-1.7768020699335239,0.16917830350069107,174.19806691080038,175.9748689807339
0,200,d1,4,-2.132800775723098,0.11850492291029137,173.83225015924413,175.96505093496722
0,200,d2,4,-2.2642669479766653,0.10390617526184517,173.70454772846284,175.9688146764395
0,200,d3,4,-2.2950676435241064,0.10075457764308823,173.6819516231782,175.9770192667023
0,20,d0,5,-0.7491822593599728,0.4727529840469384,14.579481677772181,15.328663937132154
0,20,d1,5,-0.8098985416739524,0.4449032030673845,14.515084362135463,15.324982903809415
0,20,d2,5,-0.8350913450396362,0.43383485096133834,14.480057297693293,15.315148642732929
0,20,d3,5,-0.8634849660813568,0.42168994348083744,14.456373330909257,15.319858296990613
0,50,d0,5,-1.1019379212971927,0.3322266303873485,37.406870526548715,38.50880844784591
0,50,d1,5,-1.2495573284699901,0.28663165245257943,37.255263730546076,38.504821059016066
0,50,d2,5,-1.3228080325362654,0.2663862295484111,37.19548594489903,38.5182939774353
0,50,d3,5,-1.352601342762135,0.25856676424749186,37.1518090670504,38.504410409812536
0,100,d0,5,-1.2312903267153246,0.2919156679798094,75.58744334349672,76.81873367021204
0,100,d1,5,-1.4304264850332942,0.2392068823308783,75.3928402204671,76.82326670550039
0,100,d2,5,-1.5267126869275103,0.21724865911739552,75.29334681246361,76.82005949939112
0,100,d3,5,-1.5691554238177474,0.20822096658400824,75.25616199466977,76.82531741848751
0,200,d0,5,-1.5729125838115579,0.20744011490938075,163.68691549197345,165.259828075785
0,200,d1,5,-1.8744512631295152,0.15343914146225412,163.3683841596105,165.24283542274003
0,200,d2,5,-1.9884836349822308,0.13690286284241673,163.27257788863537,165.2610615236176
0,200,d3,5,-2.0454966428779358,0.12931595018091194,163.2183757189275,165.26387236180543
0,20,d0,6,-0.906081657040744,0.404104546092771,13.096769331846028,14.002850988886772
0,20,d1,6,-1.0173013347418909,0.36156937946171386,12.992750975621957,14.010052310363848
0,20,d2,6,-1.0444485184843195,0.35188582440584637,12.963824120066185,14.008272638550505
0,20,d3,6,-1.0668328079445324,0.34409661346504267,12.940587621363576,14.007420429308109
0,50,d0,6,-1.0182808714933103,0.361215382371228,36.42699988130281,37.44528075279612
0,50,d1,6,-1.1591486018714434,0.3137531960823283,36.294360472729714,37.45350907460116
0,50,d2,6,-1.2425988129107282,0.2886331388770129,36.199889870984876,37.442488683895604
0,50,d3,6,-1.269922540377749,0.2808533757322345,36.17719249999599,37.44711504037374
0,100,d0,6,-1.2395724525100178,0.2895079698881034,87.48354315945932,88.72311561196933
0,100,d1,6,-1.4320374543780332,0.23882183760728873,87.29109744185016,88.72313489622819
0,100,d2,6,-1.537368287693056,0.21494603385373373,87.18601151737622,88.72337980506927
0,100,d3,6,-1.5628493730385742,0.20953816737510167,87.16186065303799,88.72471002607656
0,200,d0,6,-1.305180942659831,0.2711234728046956,181.11192925107778,182.4171101937376
0,200,d1,6,-1.5935385183662731,0.203205292394944,180.8290572898217,182.42259580818796
0,200,d2,6,-1.6824213393011007,0.18592324731033044,180.73323593637377,182.41565727567487
0,200,d3,6,-1.7395505249489247,0.17559931039068774,180.67722915392036,182.4167796788693
0,20,d0,7,-0.3949012492293029,0.6737465689568226,9.323121449403306,9.718022698632609
0,20,d1,7,-0.3793975826754483,0.6842735032866999,9.32700814235869,9.706405725034138
0,20,d2,7,-0.3853009848207378,0.6802458617103818,9.321028207475967,9.706329192296705
0,20,d3,7,-0.4072684893535641,0.6654654959130074,9.305817245897963,9.713085735251527
0,50,d0,7,-1.2109453495758231,0.29791551196362837,36.449268427128835,37.66021377670466
0,50,d1,7,-1.3937129765736813,0.24815220863788656,36.26996649729996,37.66367947387364
0,50,d2,7,-1.503956338036474,0.22224912579282333,36.16400983829046,37.667966176326935
0,50,d3,7,-1.516954093932739,0.21937907840108092,36.14280982121372,37.659763915146456
0,100,d0,7,-1.354137724724552,0.2581698119480807,85.62583264998113,86.97997037470569
0,100,d1,7,-1.5913608754800208,0.2036482831171142,85.40258033823517,86.99394121371519
0,100,d2,7,-1.6876624094964683,0.18495135961077008,85.29290469388707,86.98056710338354
0,100,d3,7,-1.7299939450484771,0.17728548342163578,85.2511189707089,86.98111291575738
0,200,d0,7,-1.6807767168072587,0.1862292724439167,174.7924779545243,176.47325467133155
0,200,d1,7,-1.9815105127748893,0.13786083939759486,174.47481900534123,176.45632951811612
0,200,d2,7,-2.1069047386544355,0.12161381099299709,174.35475843862685,176.46166317728128
0,200,d3,7,-2.1475147715465823,0.1167740075390256,174.31583260384016,176.46334737538675
0,20,d0,8,-0.8786497612395383,0.4153433459209813,14.084362120413493,14.963011881653031
0,20,d1,8,-0.9984218237844811,0.3684604781244311,13.979825058126185,14.978246881910666
0,20,d2,8,-1.033080783048586,0.35590879205485054,13.939869288960233,14.97295007200882
0,20,d3,8,-1.0523229146125779,0.34912581698984113,13.914056748181464,14.966379662794042
0,50,d0,8,-0.29265913494144513,0.746276476922597,39.712419383204384,40.00507851814583
0,50,d1,8,-0.3331439307910813,0.7166670362786062,39.655195089206074,39.988339019997156
0,50,d2,8,-0.3390971010288695,0.7124132696690846,39.65523918220223,39.9943362832311
0,50,d3,8,-0.3439063897612158,0.7089952941619718,39.654688283528735,39.99859467328995
0,100,d0,8,-1.193754636777868,0.30308116538760405,87.76905679628337,88.96281143306123
0,100,d1,8,-1.403844735486004,0.24565068410708712,87.55336529428874,88.95721002977474
0,100,d2,8,-1.4790353151901883,0.22785739295973237,87.4812550805903,88.96029039578049
0,100,d3,8,-1.5294744545836636,0.216649496552035,87.43090937230257,88.96038382688623
0,200,d0,8,-1.554370644620576,0.21132233764859962,174.13984167668207,175.69421232130264
0,200,d1,8,-1.850937603335609,0.15708980931401256,173.84283103984134,175.69376864317695
0,200,d2,8,-1.9560628668357083,0.1414140924401168,173.73749488971916,175.69355775655487
0,200,d3,8,-1.9893214930440308,0.13678820571500747,173.70012596197907,175.6894474550231
0,20,d0,9,-0.7927340303298376,0.45260566452941253,15.486511186503998,16.279245216833836
0,20,d1,9,-0.902167636842707,0.40568931884140325,15.375083253328325,16.277250890171032
0,20,d2,9,-0.9190537561077328,0.3988963157618719,15.347819827077945,16.266873583185678
0,20,d3,9,-0.9572180526840341,0.3839595568346861,15.320512107116539,16.277730159800573
0,50,d0,9,-1.1939071748865544,0.30303493748570537,40.31466709429431,41.50857426918086
