epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,0.007592728415427352,-1.0169278920700942,logspline,NA,1,20,d0,1
0.02,0.0054926057662523144,0.015125720556942057,-1.0129938613327873,logspline,NA,1,20,d0,1
0.03,0.008238805544908143,0.022599446403479884,-1.0090700352852606,logspline,NA,1,20,d0,1
0.04,0.0109848816048883,0.030014372236387477,-1.0051564135994349,logspline,NA,1,20,d0,1
0.05,0.01373079271778126,0.03737096066851353,-1.0012529958160243,logspline,NA,1,20,d0,1
0.060000000000000005,0.016476497664728397,0.04466967067307037,-0.9973597813445444,logspline,NA,1,20,d0,1
0.06999999999999999,0.01922195523881009,0.051910957612269715,-0.9934767694633609,logspline,NA,1,20,d0,1
0.08,0.021967124247430476,0.05909527326573172,-0.9896039593197042,logspline,NA,1,20,d0,1
0.09,0.02471196351470038,0.0662230658586721,-0.9857413499297326,logspline,NA,1,20,d0,1
0.09999999999999999,0.02745643188381845,0.07329478008986567,-0.9818889401785572,logspline,NA,1,20,d0,1
0.11,0.030200488219449886,0.08031085715939168,-0.9780467288203128,logspline,NA,1,20,d0,1
0.12,0.032944091410102745,0.08727173479615968,-0.974214714478212,logspline,NA,1,20,d0,1
0.13,0.03568720037050136,0.09417784728521894,-0.970392895644607,logspline,NA,1,20,d0,1
0.14,0.03842977404395676,0.10102962549485373,-0.9665812706810691,logspline,NA,1,20,d0,1
0.15000000000000002,0.04117177140473359,0.10782749690346449,-0.9627798378184648,logspline,NA,1,20,d0,1
0.16,0.04391315146041354,0.11457188562623821,-0.9589885951570389,logspline,NA,1,20,d0,1
0.17,0.04665387325425476,0.12126321244160876,-0.9552075406665106,logspline,NA,1,20,d0,1
0.18000000000000002,0.04939389586754706,0.1279018948175087,-0.9514366721861659,logspline,NA,1,20,d0,1
0.19,0.05213317842196275,0.13448834693741518,-0.9476759874249653,logspline,NA,1,20,d0,1
0.2,0.054871680081902546,0.1410229797261907,-0.9439254839616547,logspline,NA,1,20,d0,1
0.21000000000000002,0.057609360056836666,0.14750620087571975,-0.9401851592448754,logspline,NA,1,20,d0,1
0.22,0.060346177603640506,0.15393841487034554,-0.93645501059329606,logspline,NA,1,20,d0,1
0.23,0.06308209202892474,0.16032002301210457,-0.9327350351957333,logspline,NA,1,20,d0,1
0.24000000000000002,0.06581706269135969,0.16665142344576422,-0.9290252301112913,logspline,NA,1,20,d0,1
0.25,0.06855104900399345,0.17293301118366255,-0.9253255922695023,logspline,NA,1,20,d0,1
