delta_true,N,order,replicate,draw_id,delta_draw
3,20,d1,1,171,3.515219322950062
3,20,d1,1,176,1.7046553747234037
3,20,d1,1,181,1.036988980090098
3,20,d1,1,186,1.6108680619818792
3,20,d1,1,191,1.955479623118021
3,20,d1,1,196,0.35872615879314296
3,20,d1,1,201,2.6287138153583722
3,20,d1,1,206,2.730329716930452
3,20,d1,1,211,1.337561034361368
3,20,d1,1,216,4.048680053444698
3,20,d1,1,221,1.6938399918271578
3,20,d1,1,226,0.5539258611745411
3,20,d1,1,231,3.5188429956221845
3,20,d1,1,236,2.188915683966061
3,20,d1,1,241,2.5884025603459633
3,20,d1,1,246,1.0741390688560823
3,20,d1,1,251,0.49471035453679585
3,20,d1,1,256,4.7959877994520825
3,20,d1,1,261,1.4571491888857593
3,20,d1,1,266,2.0128577982625195
3,20,d1,1,271,2.729041382379147
3,20,d1,1,276,3.120776323206682
3,20,d1,1,281,3.11743247673456
3,20,d1,1,286,0.9779784906845267
3,20,d1,1,291,1.9668380661403342
3,20,d1,1,296,1.1483196321448017
3,20,d1,1,301,0.9831275226725961
3,20,d1,1,306,1.717307640039493
3,20,d1,1,311,1.6286540079579979
3,20,d1,1,316,1.9538009144355843
3,20,d1,1,321,1.0594332512643154
3,20,d1,1,326,1.1589459468462282
3,20,d1,1,331,4.468309099212186
3,20,d1,1,336,1.9518742811004008
3,20,d1,1,341,2.4621281094407554
3,20,d1,1,346,0.9311759591931246
3,20,d1,1,351,0.9871128102818041
3,20,d1,1,356,1.7053583661198408
3,20,d1,1,361,1.1080102962097569
3,20,d1,1,366,4.004831642573371
3,20,d1,1,371,1.117037681415008
3,20,d1,1,376,1.0595988390191302
3,20,d1,1,381,1.4743515751314067
3,20,d1,1,386,1.4881428091805642
3,20,d1,1,391,1.783801721032985
3,20,d1,1,396,2.6571750165736665
3,20,d1,1,401,2.1399320074987602
3,20,d1,1,406,2.083718869454851
3,20,d1,1,411,3.2035274378415135
3,20,d1,1,416,1.9806402039089883
3,20,d1,1,421,1.298985114652902
3,20,d1,1,426,3.6479300989911203
3,20,d1,1,431,2.5023611034177096
3,20,d1,1,436,3.2642229158731855
3,20,d1,1,441,2.6099217330162463
3,20,d1,1,446,1.4393164299039245
3,20,d1,1,451,2.3049528881570414
