delta_true,N,order,method,epsilon,median_log_bf10,mean_log_bf10,sd_log_bf10,q05_log_bf10,q25_log_bf10,q75_log_bf10,q95_log_bf10,n_valid
1,20,d0,ecdf,0.01,-0.9356470392901688,-0.9632970093972811,0.3632268567335441,-1.5020425142109703,-1.1492211395882277,-0.7814963594629105,-0.4120504698078377,50
1,20,d0,ecdf,0.02,-0.9356545480374954,-0.9496010182914764,0.24119171905503595,-1.3737924253805134,-1.0898052278647534,-0.7603757104852147,-0.6139377316866284,50
1,20,d0,ecdf,0.03,-0.9435412409357748,-0.9352645223068747,0.190402523104114,-1.2416164144202444,-1.065701894582543,-0.7815163826244469,-0.6426799377702311,50
1,20,d0,ecdf,0.04,-0.9176477109729184,-0.9131538408321566,0.16921366884574948,-1.1828129338686713,-1.034764547569695,-0.7883836460055769,-0.6775981132022041,50
1,20,d0,ecdf,0.05,-0.9067195703207762,-0.9166723373667384,0.15253239351578513,-1.1554428359158724,-1.0244954654075664,-0.817020072468948,-0.6871720656148155,50
1,20,d0,ecdf,0.06,-0.919701776117723,-0.9111808428439956,0.13646792015730952,-1.1237660258106914,-0.997292529731275,-0.8356511781748591,-0.6923480005357912,50
1,20,d0,ecdf,0.06999999999999999,-0.9323541878207824,-0.9069562925745627,0.12363178842989452,-1.0758075146863564,-0.9887597004964924,-0.8300233075724625,-0.7018553351865826,50
1,20,d0,ecdf,0.08,-0.9268315284078683,-0.9070223137058957,0.11855219256142432,-1.072685758127033,-0.9809002177807113,-0.8322812004057952,-0.6930125857496997,50
1,20,d0,ecdf,0.09,-0.9278470765234685,-0.9097710255357241,0.11079834202799466,-1.0558508640014708,-0.9848797828649132,-0.8545882000288222,-0.7231454449989163,50
1,20,d0,ecdf,0.1,-0.926325337817192,-0.9123309867936612,0.10217986642957495,-1.0549446480017206,-0.9812758503342704,-0.842366172157792,-0.7523650147478758,50
1,20,d0,ecdf,0.11,-0.9294302771135057,-0.9149309300495815,0.10235989863631821,-1.0770259296564877,-0.9793488034751805,-0.8524633306342604,-0.7421670025999618,50
1,20,d0,ecdf,0.12,-0.9300327148356061,-0.9150530557931926,0.09781506940192682,-1.0578223862289668,-0.9834592817685318,-0.8381048352852204,-0.7435282815714073,50
1,20,d0,ecdf,0.13,-0.9250175788721862,-0.917786485189989,0.08701655896403618,-1.0463501196462714,-0.9825690061043366,-0.8560247073852346,-0.7685710570314083,50
1,20,d0,ecdf,0.14,-0.9258725490752842,-0.9149888977660176,0.0858463374933333,-1.039754612492755,-0.9662879919602528,-0.840738425378785,-0.7718116925444838,50
1,20,d0,ecdf,0.15000000000000002,-0.9202071473643204,-0.9129897723231816,0.08448090206525882,-1.0389892007495447,-0.971290857006151,-0.8525198833311954,-0.7676094491321677,50
1,20,d0,ecdf,0.16,-0.928815599907814,-0.9154100628651494,0.0844777504973005,-1.0487630018191365,-0.973528420024681,-0.85815387917367425,-0.7740616617836173,50
1,20,d0,ecdf,0.17,-0.9179914485015288,-0.9180351246189571,0.07978551710499451,-1.0405382716173772,-0.9775256138000128,-0.8584808442165264,-0.799869295739712,50
1,20,d0,ecdf,0.18000000000000002,-0.9204547144802672,-0.9173993402840693,0.07931699799088102,-1.0268046998741212,-0.972184130046309,-0.8623470836729865,-0.801703359140495,50
1,20,d0,ecdf,0.19,-0.9213925178831295,-0.9143000667910595,0.07752582434913305,-1.018775100984394,-0.9746393784594671,-0.8617475757229597,-0.7976054922237359,50
1,20,d0,ecdf,0.2,-0.9246659584564441,-0.9118387355040128,0.07534025406748528,-1.0161231873294718,-0.96655003447605,-0.85546019609131,-0.8014759969599254,50
1,20,d0,ecdf,0.21,-0.9149694950190812,-0.9075991444662264,0.07420208552523673,-1.009522868141128,-0.9624738624799094,-0.8491175338063023,-0.8018471716318039,50
1,20,d0,ecdf,0.22,-0.9193873009749244,-0.9064114849744072,0.06883616067742386,-0.9998084980419444,-0.9556168471219159,-0.8504290737856275,-0.7933601587160246,50
1,20,d0,ecdf,0.23,-0.9139207932921478,-0.9039367250815029,0.06403954187634593,-0.9937027448801559,-0.948288682969359,-0.8544588555701181,-0.8019560991285691,50
1,20,d0,ecdf,0.24,-0.9078925354869456,-0.9037451510662005,0.06176411240449286,-0.995964949622067,-0.9464649695046857,-0.8640429908114345,-0.8078500834344085,50
1,20,d0,ecdf,0.25,-0.9150585579966043,-0.90166290181199,0.06153040216897546,-0.993303052818051,-0.9410095512249992,-0.8753303238578269,-0.8057908192037192,50
1,20,d0,ecdf,0.26,-0.9141707847316508,-0.9018730034252705,0.058624615346120554,-0.9857743807094959,-0.9345823425937424,-0.8710852568165298,-0.8124501593146518,50
1,20,d0,ecdf,0.27,-0.9097491159985127,-0.9018192947886894,0.05736756165355681,-0.9826336691663484,-0.9405483685585438,-0.8624034931918004,-0.8106146852368292,50
1,20,d0,ecdf,0.28,-0.9047562535104049,-0.8996432358139537,0.05724236015961821,-0.9811927208095139,-0.9401510033850119,-0.8671476678402459,-0.8069841292170941,50
1,20,d0,ecdf,0.29000000000000004,-0.8983853979425379,-0.8966596268722281,0.05542691796466919,-0.9765554831245384,-0.9365120281177297,-0.867167917145375,-0.8059426224377436,50
