delta_true,N,order,method,epsilon,median_log_bf10,mean_log_bf10,sd_log_bf10,q05_log_bf10,q25_log_bf10,q75_log_bf10,q95_log_bf10,n_valid
3,20,d0,ecdf,0.01,Inf,Inf,NA,0.49943748599915383,1.415728217873309,Inf,Inf,25
3,20,d0,ecdf,0.02,1.7034027815777633,Inf,NA,0.722573528566037,1.4157207091259822,2.802015070245873,Inf,39
3,20,d0,ecdf,0.03,1.8211733028199368,Inf,NA,0.7617161337971605,1.3000951848413287,2.514320483379882,Inf,44
3,20,d0,ecdf,0.04,1.8856943041234069,Inf,NA,0.9301828590959704,1.2979076392212876,2.3965199278893974,3.495132216557507,48
3,20,d0,ecdf,0.05,1.7723430939081817,Inf,NA,0.9747068552356207,1.2333465931754946,2.331958881843605,3.718253242963495,49
3,20,d0,ecdf,0.06,1.8211057285398005,1.8526435992477357,0.7404043658910435,1.0101755123234717,1.192497069117426,2.245528968587047,3.0249407910110158,50
3,20,d0,ecdf,0.06999999999999999,1.704425233526546,1.8242160903699005,0.6646648952143325,1.0589331428687632,1.2820766941829729,2.2243682772378843,2.9560531277546445,50
3,20,d0,ecdf,0.08,1.7032526221907809,1.7716851185451525,0.5532216361778811,1.0526650560496311,1.2572370981299095,2.2422491229234676,2.5787213595446805,50
3,20,d0,ecdf,0.09,1.7409504104014164,1.7792323002176837,0.5230634095181994,1.1053938405288672,1.3229908179058498,2.226458226183117,2.6144171548715724,50
3,20,d0,ecdf,0.1,1.7376589765253914,1.778710726762984,0.5133021633904508,1.0953736715858158,1.3201702885258102,2.18764803563345,2.619453272656071,50
3,20,d0,ecdf,0.11,1.703569345977213,1.7635253424122481,0.5120289565208004,1.1052729974630564,1.328416548777266,2.1583048969326772,2.5605602300698984,50
3,20,d0,ecdf,0.12,1.6489852344949687,1.7251437930626023,0.483076694650137,1.1567306453735895,1.335327675639927,2.0885068869550247,2.513982671981573,50
3,20,d0,ecdf,0.13,1.6532770244874815,1.718578448532237,0.47208013737542315,1.1470438555100273,1.3502917809937034,2.03434705051093,2.5409604724009798,50
3,20,d0,ecdf,0.14,1.6564023601908004,1.705624732089638,0.4361876047226859,1.1341889033943549,1.3216550647697178,1.9142314694929004,2.444859720555071,50
3,20,d0,ecdf,0.15000000000000002,1.638311319766926,1.6781494422400225,0.3925806956657596,1.1369867415506287,1.35856642189379,1.9259933922187067,2.4184698773165008,50
3,20,d0,ecdf,0.16,1.622729603549276,1.6520342786360391,0.3506099421529293,1.130214749711783,1.3544656169545966,1.885093868016767,2.1816796852744638,50
3,20,d0,ecdf,0.17,1.6091637302979298,1.657291182204067,0.3596749610519059,1.1675238897559872,1.3648920212586977,1.850325787114818,2.2422217841768397,50
3,20,d0,ecdf,0.18000000000000002,1.6311433098064052,1.6543685186588697,0.3550047726444376,1.1482915380828207,1.3943709706956837,1.8523050202590308,2.225850417553098,50
3,20,d0,ecdf,0.19,1.6184266521759223,1.6341777248893725,0.35167583885348075,1.1294994062200239,1.369863854543205,1.8237328535045478,2.2268227683759148,50
3,20,d0,ecdf,0.2,1.592175615545524,1.6206711292302325,0.32461820923855433,1.1302548719830392,1.3719644281982417,1.807772792582516,2.175307222380385,50
3,20,d0,ecdf,0.21,1.5687784056987375,1.6108054879153957,0.3176699046022289,1.151722553152061,1.3969798528138337,1.7765261262494534,2.141886801602063,50
3,20,d0,ecdf,0.22,1.5611237373400375,1.6023895293300248,0.3142647051056651,1.1799888788034973,1.3976656212591183,1.7813778851198754,2.1400847494436106,50
3,20,d0,ecdf,0.23,1.5418234544983207,1.5893240060281912,0.3083862461429954,1.1787686562575095,1.4144078184183475,1.7465416534409623,2.1128516419037933,50
3,20,d0,ecdf,0.24,1.547821786519458,1.5749880122891478,0.28525826661426107,1.1709063542091183,1.3785190762040604,1.7231006240717386,2.0273948667813446,50
3,20,d0,ecdf,0.25,1.508539054186656,1.567664859727966,0.287489841491233,1.154626764431642,1.3749472787349355,1.715273084672139,2.01398869143514,50
3,20,d0,ecdf,0.26,1.5151367316771165,1.5644447402105925,0.2808037486175921,1.178355348014506,1.394992419835053,1.714874850063901,1.982732805146644,50
3,20,d0,ecdf,0.27,1.5316913008086013,1.5513965065850346,0.2551269121788148,1.2012079060734773,1.373357849199511,1.6832958571174195,1.9233091625167267,50
3,20,d0,ecdf,0.28,1.5270996308363225,1.535456465112137,0.2477869389522446,1.17874502765395,1.3830275613960166,1.6549330023462074,1.8587681417553898,50
3,20,d0,ecdf,0.29000000000000004,1.5228279506005944,1.5267317388935555,0.2380432986317984,1.1791033471734984,1.3882024948788414,1.6347903690882277,1.8511530453508245,50
3,20,d0,ecdf,0.3,1.4914835315046215,1.5095814726486625,0.2288769651027783,1.1463769765673844,1.3847567146612856,1.6160056713778053,1.8585508408805786,50
3,20,d0,ecdf,0.31,1.4800205688120065,1.4977261944187052,0.22510853154764918,1.1353841109695555,1.3738894453388149,1.6086379466341,1.840472449578822,50
3,20,d0,ecdf,0.32,1.477710543902417,1.4896933046783944,0.2141071722899654,1.125802983169243,1.356251172394696,1.6160493388004165,1.8237967640065618,50
3,20,d0,ecdf,0.33,1.475530252686682,1.4817682433241943,0.20771087349415188,1.1218133608753105,1.3541693956824146,1.6136805911674994,1.8210064537036703,50
3,20,d0,ecdf,0.34,1.4580816087984605,1.4616974418465947,0.20414930180846053,1.1028038794625923,1.3556844024754535,1.5806777096391664,1.8157975236977406,50
3,20,d0,ecdf,0.35000000000000003,1.427164556308106,1.4484884151054056,0.1965550609100329,1.0838397756058866,1.3370997514050478,1.5712293507302761,1.769345731810212,50
3,20,d0,ecdf,0.36000000000000004,1.433572373216501,1.4331734128448184,0.18352344916077787,1.0876082830973886,1.3261226879481514,1.5460252063703055,1.7400244736650041,50
3,20,d0,ecdf,0.37,1.4191147234339578,1.4183678501934431,0.17678232873363506,1.094158063521918,1.3250334659374388,1.526722248583813,1.7294165048019594,50
3,20,d0,ecdf,0.38,1.4121250424154557,1.398824731295722,0.173834533439675,1.0915647577698162,1.3120415838584731,1.4908169819044386,1.6842883356352107,50
3,20,d0,ecdf,0.39,1.3804041844486705,1.3828071569051001,0.16579434981606292,1.0749201075590986,1.29416243859953,1.4747812249594954,1.668786011703394,50
3,20,d0,ecdf,0.4,1.3570291382167565,1.3664009923508684,0.16480284578331636,1.0512430096620133,1.2747068564675788,1.4597618052054022,1.6683719137120607,50
3,20,d0,ecdf,0.41,1.3409173153819027,1.3544958705264338,0.16616000743879888,1.0391306367485798,1.2670227655922028,1.445661581841373,1.6593710465004374,50
3,20,d0,ecdf,0.42,1.3312856028598188,1.3372534877190974,0.15972773861499076,1.035966981960215,1.247025259242079,1.4113283105333552,1.6324870741933681,50
3,20,d0,ecdf,0.43,1.2907531368092886,1.3201902508354026,0.15897458528210667,1.019826111127716,1.2331741708193766,1.3995559966580875,1.610585787516932,50
3,20,d0,ecdf,0.44,1.278091875367931,1.3015667610312427,0.1518696793652253,1.014541147903239,1.2247981326705393,1.3856650974056952,1.593201210232436,50
3,20,d0,ecdf,0.45,1.266097865682997,1.2822393048354852,0.15111171386023226,1.010108735282895,1.2009585635120357,1.3645484552217313,1.5696187687692391,50
3,20,d0,ecdf,0.46,1.2594126125341478,1.2651890931883696,0.14337578229195636,1.0058794576155714,1.187309318632804,1.337121596861464,1.5268161384177437,50
3,20,d0,ecdf,0.47,1.2439863240329976,1.2475279363813536,0.1387784102793683,1.0047506926391168,1.1660247825632857,1.313979696633724,1.499169229091824,50
3,20,d0,ecdf,0.48,1.2294017814890636,1.2327061865824092,0.134300993073566,1.0184935089847573,1.1480282154743284,1.308547380652787,1.4707790468275688,50
3,20,d0,ecdf,0.49,1.2030711349540602,1.2174909391668474,0.13479690196988656,1.005086192974678,1.1426820152238364,1.291969454471058,1.4525379566889194,50
3,20,d0,ecdf,0.5,1.182371357892905,1.1966644651855411,0.130453662322124,0.9655476550744737,1.1205888494100182,1.2697370516565445,1.4251331341904143,50
3,20,d0,ecdf,0.51,1.1666866666732876,1.1804007939872294,0.12534945762195804,0.9694144616649256,1.1142401913007451,1.2550976240173408,1.409248303844599,50
3,20,d0,ecdf,0.52,1.1481088554904093,1.1666610749362847,0.12540292842784392,0.9579621334775179,1.0853125016818614,1.2575930883320976,1.3994232837713154,50
3,20,d0,ecdf,0.53,1.1305289633309432,1.1503973043766658,0.12486575977674103,0.94292111644558,1.0817387991615113,1.2478897349986007,1.3767138861076313,50
3,20,d0,ecdf,0.54,1.1207849075745535,1.138820340491038,0.12404919066722042,0.9313747235733987,1.0749795060152967,1.2307858027888825,1.3553154490953043,50
3,20,d0,ecdf,0.55,1.1080978804705968,1.1236205517106506,0.11959240131484206,0.9188876189939039,1.0652520534061374,1.208978625752593,1.3313757606680847,50
3,20,d0,ecdf,0.56,1.0894680394717604,1.105903605610884,0.11754843304241956,0.9149872899870272,1.0403722992149858,1.1847782192760852,1.302524599016584,50
