epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.63,0.171319558219276,0.2103881978504579,-0.20542381136713672,logspline,NA,2,20,d0,1
0.64,0.17398432849789494,0.21450530081298624,-0.20936922142329745,logspline,NA,2,20,d0,1
0.65,0.17664656111742183,0.2186468382474254,-0.21330691101183058,logspline,NA,2,20,d0,1
0.66,0.1793062196063141,0.22281221670150209,-0.2172342708652057,logspline,NA,2,20,d0,1
0.67,0.18196326763592735,0.22700076810428332,-0.22114856066405922,logspline,NA,2,20,d0,1
0.68,0.18461766902234059,0.23121174867259525,-0.22504691889611222,logspline,NA,2,20,d0,1
0.6900000000000001,0.18726938772816468,0.2354443379356313,-0.22892637225179197,logspline,NA,2,20,d0,1
0.7000000000000001,0.18991838786433443,0.23969763789084342,-0.2327838446255781,logspline,NA,2,20,d0,1
0.7100000000000001,0.1925646336918852,0.2439706723043139,-0.2366161657834063,logspline,NA,2,20,d0,1
0.72,0.1952080896237114,0.24826238616884638,-0.24042007974884866,logspline,NA,2,20,d0,1
0.73,0.1978487202263096,0.2525716453329876,-0.24419225295402927,logspline,NA,2,20,d0,1
0.74,0.20048649022150355,0.25689723631408534,-0.24792928219527452,logspline,NA,2,20,d0,1
0.75,0.20312136448815293,0.26123786630830714,-0.25162770242818383,logspline,NA,2,20,d0,1
0.76,0.2057533080638442,0.2655921634102689,-0.25528399443206434,logspline,NA,2,20,d0,1
0.77,0.2083822861465646,0.26995867705456483,-0.2588945923694346,logspline,NA,2,20,d0,1
0.78,0.21100826409635792,0.27433587869102816,-0.2624558912624873,logspline,NA,2,20,d0,1
0.79,0.21363120743696332,0.2787221627049955,-0.2659642544049494,logspline,NA,2,20,d0,1
0.8,0.21625108185743552,0.2831158475931839,-0.26941602072467435,logspline,NA,2,20,d0,1
0.81,0.2188678532137475,0.28751517740502097,-0.27280751210945553,logspline,NA,2,20,d0,1
0.8200000000000001,0.22148148753037505,0.291918323458387,-0.2761350407059608,logspline,NA,2,20,d0,1
0.8300000000000001,0.2240919510018628,0.2963233863377427,-0.279394916199335,logspline,NA,2,20,d0,1
0.8400000000000001,0.226699209994372,0.30072839818150937,-0.28258345307880933,logspline,NA,2,20,d0,1
0.85,0.22930323104720982,0.3051313252643608,-0.2856969778926727,logspline,NA,2,20,d0,1
0.86,0.2319039808743399,0.30953007089355405,-0.28873183654186335,logspline,NA,2,20,d0,1
0.87,0.23450142636587423,0.31392249091482527,-0.29168444076538197,logspline,NA,2,20,d0,1
0.88,0.23709553458954613,0.31830646943307694,-0.29455149958989474,logspline,NA,2,20,d0,1
