epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,3.3199340391408327e-4,2.112903287756824,logspline,NA,3,20,d0,1
0.02,0.0054926057662523144,6.736280869920322e-4,2.0984799016601694,logspline,NA,3,20,d0,1
0.03,0.008238805544908143,0.001025182857820668,2.0839843807185323,logspline,NA,3,20,d0,1
0.04,0.0109848816048883,0.0013869431478236015,2.0694177767092596,logspline,NA,3,20,d0,1
0.05,0.01373079271778126,0.0017592010673789875,2.0547811872960295,logspline,NA,3,20,d0,1
0.060000000000000005,0.016476497664728397,0.0021422554664344727,2.0400757512619485,logspline,NA,3,20,d0,1
0.06999999999999999,0.01922195523881009,0.002536411989483363,2.0253026479533958,logspline,NA,3,20,d0,1
0.08,0.021967124247430476,0.0029419831244655906,2.0104630972234747,logspline,NA,3,20,d0,1
0.09,0.02471196351470038,0.003359288245141959,1.9955583594622444,logspline,NA,3,20,d0,1
0.09999999999999999,0.02745643188381845,0.003788653646475214,1.9805897356308289,logspline,NA,3,20,d0,1
0.11,0.030200488219449886,0.004230412572536643,1.9655585672764935,logspline,NA,3,20,d0,1
0.12,0.032944091410102745,0.004684905236442561,1.9504662365208099,logspline,NA,3,20,d0,1
0.13,0.03568720037050136,0.005152478831810658,1.935314166017732,logspline,NA,3,20,d0,1
0.14,0.03842977404395676,0.005633487535212698,1.9201038188800452,logspline,NA,3,20,d0,1
0.15000000000000002,0.04117177140473359,0.00612829249908652,1.904836698573416,logspline,NA,3,20,d0,1
0.16,0.04391315146041354,0.006637261834557757,1.8895143487775663,logspline,NA,3,20,d0,1
0.17,0.04665387325425476,0.0071607705836094545,1.8741383532143117,logspline,NA,3,20,d0,1
0.18000000000000002,0.04939389586754706,0.007699200680026525,1.8587103354422958,logspline,NA,3,20,d0,1
0.19,0.05213317842196275,0.008252940898531232,1.843231958618373,logspline,NA,3,20,d0,1
0.2,0.054871680081902546,0.00882238679151644,1.827704925225621,logspline,NA,3,20,d0,1
0.21000000000000002,0.057609360056836666,0.009407940612774458,1.8121309767680711,logspline,NA,3,20,d0,1
0.22,0.060346177603640506,0.010010011227611932,1.79651189343226,logspline,NA,3,20,d0,1
0.23,0.06308209202892474,0.010629014008734675,1.780849493715789,logspline,NA,3,20,d0,1
0.24000000000000002,0.06581706269135969,0.011265370717281406,1.765145634023113,logspline,NA,3,20,d0,1
0.25,0.06855104900399345,0.011919509368381476,1.7494022082288425,logspline,NA,3,20,d0,1
0.26,0.07128401043656375,0.012591864080609796,1.733621147208866,logspline,NA,3,20,d0,1
0.27,0.07401590651780321,0.013282874908711344,1.7178044183396843,logspline,NA,3,20,d0,1
0.28,0.07674669683773747,0.013992987658969178,1.7019540249663447,logspline,NA,3,20,d0,1
0.29000000000000004,0.07947634104997642,0.014722653686592662,1.6860720058394556,logspline,NA,3,20,d0,1
0.3,0.08220479887399783,0.015472329674507991,1.6701604345217596,logspline,NA,3,20,d0,1
