delta_true,N,order,replicate,draw_id,delta_draw
0,20,d0,1,1,2.6928363444381733
0,20,d0,1,6,0.4190864521485345
0,20,d0,1,11,0.3976576381352654
0,20,d0,1,16,3.6093262181445405
0,20,d0,1,21,3.402426338552251
0,20,d0,1,26,0.08336977500893591
0,20,d0,1,31,1.7891171295916564
0,20,d0,1,36,0.11642240020387892
0,20,d0,1,41,1.1998740844644655
0,20,d0,1,46,6.808210492845553
0,20,d0,1,51,2.134640073418337
0,20,d0,1,56,0.3624120112096829
0,20,d0,1,61,3.437152750169119
0,20,d0,1,66,2.100215030021613
0,20,d0,1,71,1.7226247560510795
0,20,d0,1,76,0.9410899444018963
0,20,d0,1,81,1.4947285245578752
0,20,d0,1,86,1.6898892371418486
0,20,d0,1,91,0.7765779554284421
0,20,d0,1,96,0.5552311519412146
0,20,d0,1,101,0.5492954034016377
0,20,d0,1,106,0.07559374910529287
0,20,d0,1,111,0.6144519651009869
0,20,d0,1,116,0.4148174930208282
0,20,d0,1,121,0.01716653709105952
0,20,d0,1,126,0.558645258501651
0,20,d0,1,131,0.7300770567491118
0,20,d0,1,136,1.7961119670496368
0,20,d0,1,141,0.27914593388089415
0,20,d0,1,146,1.4683719064700511
0,20,d0,1,151,5.682097289768941
0,20,d0,1,156,2.7462222816854998
0,20,d0,1,161,0.5796738749340495
0,20,d0,1,166,0.801070639032397
0,20,d0,1,171,1.4496661208464663
0,20,d0,1,176,0.36121582905218413
0,20,d0,1,181,1.686199635915436
0,20,d0,1,186,1.2704026045799184
0,20,d0,1,191,0.9181832002785721
0,20,d0,1,196,1.5139205416274721
0,20,d0,1,201,0.32055477857510084
0,20,d0,1,206,0.2733758804952726
0,20,d0,1,211,1.5103059482835244
0,20,d0,1,216,5.105431573092503
0,20,d0,1,221,0.23695483609850543
0,20,d0,1,226,0.19680166299931537
0,20,d0,1,231,1.4811026112943635
0,20,d0,1,236,0.3482763939600598
0,20,d0,1,241,2.2116410606002765
0,20,d0,1,246,0.12432945055492928
0,20,d0,1,251,1.057295441681462
0,20,d0,1,256,0.1588206851934177
0,20,d0,1,261,0.03563136481838402
0,20,d0,1,266,0.39996645013067755
0,20,d0,1,271,0.7180377321291924
0,20,d0,1,276,0.2545079139187441
0,20,d0,1,281,0.4322382325240025
0,20,d0,1,286,1.31590649859814
0,20,d0,1,291,1.1591894607096207
0,20,d0,1,296,0.7160541209997204
0,20,d0,1,301,0.04203234257545243
0,20,d0,1,306,1.4032434624970227
0,20,d0,1,311,2.717644947766677
0,20,d0,1,316,0.2013608601663808
0,20,d0,1,321,0.6022919122316499
0,20,d0,1,326,0.3937024442996955
0,20,d0,1,331,3.5389206322893663
0,20,d0,1,336,2.9564553429459592
0,20,d0,1,341,2.283844669895964
0,20,d0,1,346,0.1722236349854249
0,20,d0,1,351,1.5915699821985279
0,20,d0,1,356,1.9921075306194813
