delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
1,20,d0,1,-1.4653787505691938,0.230990487128737,12.70065226216718,14.166031012736374
1,50,d0,1,-2.1711573646975495,0.1140455482083426,32.483255051515414,34.65441241621296
1,100,d0,1,0.772716472274297,2.165641174849682,78.24462220941808,77.47190573714379
1,200,d0,1,4.902416648173784,134.6147032906535,166.49744646229686,161.59502981412308
1,20,d0,2,-1.9718475354382043,0.139199442594707,10.980021859912373,12.951869395350577
1,50,d0,2,-2.0194281585491396,0.13273134466721656,41.79342008883846,43.8128482473876
1,100,d0,2,-1.7118225791133455,0.18053645061827078,84.79000420011035,86.50182677922369
1,200,d0,2,0.49674550363431536,1.6433642352711375,170.8229494311296,170.32620392749527
1,20,d0,3,-1.1454363499406757,0.3180850910934829,15.27306687238742,16.418503222328095
1,50,d0,3,-0.11507406657880637,0.8913001259109821,42.44171322282252,42.55678728940133
1,100,d0,3,-1.3700410426911418,0.2540965305333614,88.25397492891408,89.62401597160522
1,200,d0,3,2.8833723374243903,17.874450331543713,171.97315200862374,169.08977967119935
1,20,d0,4,-1.071632509310703,0.34244900964545616,11.550971431574302,12.622603940885005
1,50,d0,4,-0.35980818514059365,0.6978101635930299,33.477505687636345,33.83731387277694
1,100,d0,4,4.288112916446195,72.82890451513738,77.68675625266145,73.39864333621526
1,200,d0,4,10.746448321267877,46464.70733073139,167.77402015561285,157.02757183434497
1,20,d0,5,0.4915409740375516,1.6348335159171343,11.474041370749733,10.982500396712181
1,50,d0,5,-2.144364597759015,0.11714244597450901,30.906472803133155,33.05083740089217
1,100,d0,5,-2.417963610512686,0.0891028810053254,73.14896331187101,75.5669269223837
1,200,d0,5,-2.2431578044939897,0.10612285946512301,160.23362041532772,162.4767782198217
1,20,d0,6,-1.7885426286746906,0.16720367002290223,11.315291920985807,13.103834549660498
1,50,d0,6,-1.4587429595318895,0.23252838868632436,38.5344797864756,39.99322274600749
1,100,d0,6,1.8124642582816222,6.125523721225591,83.9425555241651,82.13009126588348
1,200,d0,6,0.596307779427093,1.8154035406083957,168.3714313628582,167.7751235834311
1,20,d0,7,-1.6461431867783514,0.19279203945761766,14.006643469943722,15.652786656722073
1,50,d0,7,-0.30139046362958055,0.7397888557028586,45.79035601119884,46.09174647482842
1,100,d0,7,-2.593126634210307,0.07478584617167554,82.05246948676906,84.64559612097936
1,200,d0,7,-3.0525212521282867,0.047239670999331955,162.76323226516368,165.81575351729197
1,20,d0,8,0.6221826512198021,1.8629898645630238,20.695809524453882,20.07362687323408
1,50,d0,8,2.8393682272551573,17.104955678019127,39.71403490131811,36.87466667406295
1,100,d0,8,15.08502905565041,3559138.416323173,87.2178479596973,72.13281890404689
1,200,d0,8,30.786440161901936,23462867051646.68,180.09823995392463,149.3117997920227
1,20,d0,9,-1.3855898902827217,0.2501761797587571,15.211033124018835,16.596623014301557
1,50,d0,9,-1.1873016234029876,0.30504327615629573,41.723668321620934,42.91096994502392
1,100,d0,9,-2.335573351573018,0.09675499199333139,84.95631443821716,87.29188778979018
1,200,d0,9,-2.0687291632904703,0.1263462451684841,170.90158332146484,172.9703124847553
1,20,d0,10,-1.1909541260163135,0.3039311370748077,9.374328411861372,10.565282537877685
1,50,d0,10,2.4064684722491663,11.094710600292224,28.86352312444917,26.457054652200004
1,100,d0,10,9.483584986514352,13142.216832389788,70.85700864291019,61.373423656395836
1,200,d0,10,15.120376001637965,3687192.925190051,153.0470337714516,137.92665776981363
1,20,d0,11,-1.169666542836497,0.3104704526027038,10.04388034600922,11.213546888845716
1,50,d0,11,-0.8837887483391356,0.4132143768819633,33.02180454729729,33.90559329563643
1,100,d0,11,2.348870377696656,10.47373167882242,71.53478692894157,69.18591655124492
1,200,d0,11,1.6688733360145704,5.306186139331506,162.6024621645427,160.93358882852812
1,20,d0,12,-1.962642220941607,0.14048673310838652,17.63634447535963,19.598986696301235
